Features kept,wasserstein (acc / fit s),bhattacharyya (acc / fit s),composite (acc / fit s)
1,0.9967 / 0.55,0.4267 / 0.25,0.4267 / 0.30
2,0.9967 / 0.43,0.4527 / 0.34,0.9967 / 0.45
3,0.9967 / 0.51,0.8455 / 0.53,0.9967 / 0.51
4,0.9967 / 0.59,0.9160 / 0.72,0.9966 / 0.71
5,0.9966 / 0.70,0.9456 / 0.95,0.9966 / 0.89
7,0.9998 / 0.89,0.9610 / 1.32,0.9967 / 1.22
10,0.9995 / 1.23,0.9676 / 1.83,0.9980 / 1.69
15,0.9974 / 1.96,0.9765 / 2.91,0.9999 / 2.54
20,0.9990 / 2.70,0.9777 / 3.54,0.9995 / 3.52
