N (points),classical VAT (s),pVAT (s),speedup
256,0.278 ± 0.012 s,0.011 ± 0.026 s,25x
512,1.902 ± 0.053 s,0.006 ± 0.001 s,311x
"1,024",14.438 ± 0.410 s,0.021 ± 0.002 s,673x
"2,048",infeasible (>cap),0.075 ± 0.002 s,N/A
"4,096",infeasible (>cap),0.229 ± 0.006 s,N/A
