λ,target skew,uniform R²,quantile R²,Q − U,uniform tail RMSE,quantile tail RMSE,uniform min bucket n
0.01,+0.05,0.912 ± 0.009,0.911 ± 0.010,-0.001,0.052 ± 0.006,0.051 ± 0.006,11
0.50,+1.84,0.885 ± 0.018,0.876 ± 0.035,-0.009,0.064 ± 0.016,0.062 ± 0.011,1
1.00,+5.32,0.761 ± 0.070,0.728 ± 0.169,-0.033,0.085 ± 0.029,0.066 ± 0.017,1
1.50,+10.44,0.335 ± 0.124,0.183 ± 0.813,-0.152,0.113 ± 0.053,0.064 ± 0.021,1
2.00,+14.71,0.168 ± 0.073,-2.106 ± 4.274,-2.274,0.111 ± 0.061,0.062 ± 0.024,0
2.50,+17.71,0.084 ± 0.016,-12.562 ± 24.000,-12.646,0.132 ± 0.052,0.060 ± 0.027,0
