fit_seconds,rmse_train,rmse_test_shaped,rmse_test_true,nasa_score_true,n_train,n_test,n_features,pipeline,tsk_order,n_gaussians,top_p,detect_interactions,norm_conorm,l2_reg,scaler
0.9975629649998154,6.594887470217634,8.498397475508296,6.479862521173582,10965.385444239033,26320,6270,60,A3_raw_memory_cc/B3/C3_physical,full-2nd,0,0.95,False,hamacher,0.01,standard
0.7646186869969824,6.579302712125985,8.520680012099776,6.483758214987172,10980.462026870031,26320,6270,60,A3_raw_memory_cc/B3/C3_physical,full-2nd,3,0.95,False,hamacher,0.01,standard
0.8776313520065742,6.724475038705383,8.552655597687606,6.499663043225636,11037.217234161613,26320,6270,60,A3_raw_memory_cc/B3/C3_physical,full-2nd,5,0.95,False,hamacher,0.01,standard
1.0702475439975387,6.577007009434934,8.500261017347627,6.506413518836627,10982.074236507768,26320,6270,60,A3_raw_memory_cc/B3/C3_physical,full-2nd,0,0.95,False,hamacher,1e-06,standard
0.7656222709993017,6.558023280739333,8.527914506218105,6.50709019024682,10996.739684206514,26320,6270,60,A3_raw_memory_cc/B3/C3_physical,full-2nd,3,0.95,False,hamacher,1e-06,standard
0.8945101710050949,6.707548054708102,8.54589064533521,6.5211469375825155,11047.591345063485,26320,6270,60,A3_raw_memory_cc/B3/C3_physical,full-2nd,5,0.95,False,hamacher,1e-06,standard
0.5353448669993668,6.480884461904721,8.50707519595809,6.523711639223669,11030.07471703348,26320,6270,60,A3_raw_memory_cc/B3/C3_physical,full-2nd,3,0.9,False,hamacher,0.01,
0.6973753000056604,6.49096580610303,8.517805667818196,6.5310519334662445,11032.700122273976,26320,6270,60,A3_raw_memory_cc/B3/C3_physical,full-2nd,0,0.9,False,hamacher,0.01,
10.485978689001058,6.253032758381827,8.570111059836915,6.535666106512309,11000.991333619637,26320,6270,96,A3_raw_memory_cc/B2/C3_physical,full-2nd,0,0.95,False,hamacher,0.01,standard
8.594397360997391,6.226268278630357,8.621547317303476,6.542044039396469,11034.785005054331,26320,6270,96,A3_raw_memory_cc/B2/C3_physical,full-2nd,3,0.95,False,hamacher,0.01,standard
0.618526373997156,6.615489655523185,8.535461675612911,6.544815360557399,11082.035297605285,26320,6270,60,A3_raw_memory_cc/B3/C3_physical,full-2nd,5,0.9,False,hamacher,0.01,
0.6161390380002558,6.597827428217981,8.511568050871295,6.556692259744887,11075.313265324246,26320,6270,60,A3_raw_memory_cc/B3/C3_physical,full-2nd,5,0.9,False,hamacher,1e-06,
0.6783515860006446,6.472398382348401,8.507649006628217,6.557676747212934,11037.23231494505,26320,6270,60,A3_raw_memory_cc/B3/C3_physical,full-2nd,0,0.9,False,hamacher,1e-06,
0.5415129069951945,6.460115531588402,8.493548336875575,6.55907916918665,11045.832959105004,26320,6270,60,A3_raw_memory_cc/B3/C3_physical,full-2nd,3,0.9,False,hamacher,1e-06,
1.7521465520039783,6.4514219157286385,8.502078902795878,6.57474804644476,11025.854060268668,26320,6270,96,A3_raw_memory_cc/B2/C3_physical,full-2nd,0,0.9,False,hamacher,0.01,standard
2.6845851819962263,6.562158321526983,8.390511911462598,6.580959556580901,11031.385022643919,26320,6270,60,A3_raw_memory_cc/B3/C3_physical,full-2nd,3,0.95,False,hamacher,0.01,
3.552663048998511,6.1875320457235805,8.399466109916135,6.5999995418071356,11032.135336374275,26320,6270,60,A3_raw_memory_cc/B3/C3_physical,full-2nd,0,0.95,False,hamacher,0.01,
1.5972981480008457,6.566722121394756,8.540197725717801,6.632290590098081,11175.982026138288,26320,6270,96,A3_raw_memory_cc/B2/C3_physical,full-2nd,5,0.9,False,hamacher,0.01,standard
2.7573886190002668,6.4961596190564395,8.463845630112127,6.643802728506433,11074.935808029919,26320,6270,60,A3_raw_memory_cc/B3/C3_physical,full-2nd,3,0.95,False,hamacher,1e-06,
2.9340565309976228,6.3993639782141525,8.39206104121883,6.655496066004307,11119.172178312208,26320,6270,60,A3_raw_memory_cc/B3/C3_physical,full-2nd,5,0.95,False,hamacher,0.01,
1.4198012560009374,6.435859606498051,8.648532589371989,6.657705106462399,11313.16989168665,26320,6270,96,A3_raw_memory_cc/B2/C3_physical,full-2nd,3,0.9,False,hamacher,0.01,standard
3.0674579410042497,6.118359787359381,8.48643689016121,6.6749442047380105,11106.811485907696,26320,6270,60,A3_raw_memory_cc/B3/C3_physical,full-2nd,0,0.95,False,hamacher,1e-06,
8.792517832996964,6.424657752780443,8.627653618218783,6.737833851282721,11282.82311061539,26320,6270,96,A3_raw_memory_cc/B2/C3_physical,full-2nd,5,0.95,False,hamacher,0.01,standard
2.8445136200025445,6.3340096421887155,8.483587117120079,6.76912250723147,11231.275738779224,26320,6270,60,A3_raw_memory_cc/B3/C3_physical,full-2nd,5,0.95,False,hamacher,1e-06,
6.926689275001991,6.705645804883078,8.682326063161026,6.771527736482561,11305.201352322269,26320,6270,60,A3_raw_memory_cc/B3/C3_physical,full-2nd,0,0.95,True,hamacher,0.01,
7.055235251005797,6.700498381411181,8.689693473933165,6.781866549504594,11314.082681180318,26320,6270,60,A3_raw_memory_cc/B3/C3_physical,full-2nd,0,0.95,True,hamacher,1e-06,
6.594776676000038,7.049205430473162,8.711270017475565,6.783553834703565,11325.89424630169,26320,6270,60,A3_raw_memory_cc/B3/C3_physical,full-2nd,3,0.95,True,hamacher,0.01,
6.553232157995808,7.044648255284133,8.719738862334529,6.795080760690463,11336.2390892066,26320,6270,60,A3_raw_memory_cc/B3/C3_physical,full-2nd,3,0.95,True,hamacher,1e-06,
6.706644963000144,6.918896676618533,8.662152489561496,6.802773751858781,11371.599460190933,26320,6270,60,A3_raw_memory_cc/B3/C3_physical,full-2nd,5,0.95,True,hamacher,0.01,
6.727183311006229,6.915376587655655,8.674909800819396,6.823476184143169,11392.862264629091,26320,6270,60,A3_raw_memory_cc/B3/C3_physical,full-2nd,5,0.95,True,hamacher,1e-06,
1.6944491069953074,6.409476845552788,8.693886931308096,6.825551747275048,11788.360935530674,26320,6270,96,A3_raw_memory_cc/B2/C3_physical,full-2nd,0,0.9,False,hamacher,1e-06,standard
1.5826853249964188,6.520704924533312,8.697683341411729,6.845146239339079,11874.693456111287,26320,6270,96,A3_raw_memory_cc/B2/C3_physical,full-2nd,5,0.9,False,hamacher,1e-06,standard
6.670492214994738,7.081931507518806,8.71380576533416,6.849478076322851,11409.037679020912,26320,6270,60,A3_raw_memory_cc/B3/C3_physical,full-2nd,0,0.95,True,hamacher,0.01,standard
6.692650360993866,7.08192811511062,8.714253511799031,6.849643625802983,11409.222072293185,26320,6270,60,A3_raw_memory_cc/B3/C3_physical,full-2nd,0,0.95,True,hamacher,1e-06,standard
1.0292493050001212,6.717616212774284,8.724213590760888,6.861073323155926,11369.89296718944,26320,6270,96,A3_raw_memory_cc/B2/C3_physical,full-2nd,0,0.95,False,hamacher,1e-06,
6.539238122997631,6.911596259816919,8.830009115856358,6.873815915817034,11479.149260288195,26320,6270,60,A3_raw_memory_cc/B3/C3_physical,full-2nd,0,0.9,True,hamacher,0.01,
6.556568097999843,6.90955711957344,8.837285109829834,6.881473731707581,11488.648580479236,26320,6270,60,A3_raw_memory_cc/B3/C3_physical,full-2nd,0,0.9,True,hamacher,1e-06,
1.0725294149960973,6.7587499824870285,8.694743897512701,6.885563416226972,11406.197258717504,26320,6270,96,A3_raw_memory_cc/B2/C3_physical,full-2nd,0,0.95,False,hamacher,0.01,
6.580030156001158,7.20578826005278,8.746079827048218,6.90363790002137,11510.393726048365,26320,6270,60,A3_raw_memory_cc/B3/C3_physical,full-2nd,5,0.95,True,hamacher,0.01,standard
6.59606360700127,7.205775776609496,8.746790429332755,6.903854934538163,11510.620465853552,26320,6270,60,A3_raw_memory_cc/B3/C3_physical,full-2nd,5,0.95,True,hamacher,1e-06,standard
6.487948583002435,7.0658244261496845,8.767880916310228,6.910834663875671,11490.953417590954,26320,6270,60,A3_raw_memory_cc/B3/C3_physical,full-2nd,3,0.95,True,hamacher,0.01,standard
