refiner,refine_seconds,rmse_baseline,rmse_refined,val_mse_before,val_mse_after,pipeline
coordinate,959.2431836330006,11.949861385079194,9.903822477793337,214.43811921636097,134.10050656971546,A3_raw_memory/B2/C1_raw
local,1234.1417599270007,11.949861385079194,11.23011263254705,214.43811921636097,169.4049052185468,A3_raw_memory/B2/C1_raw
coordinate,237.60366581299968,19.31463867622894,19.306194660820328,409.7366308959849,385.6302271522686,A3_raw_memory/B1/C3_physical
local,479.26184721699974,19.31463867622894,19.24761993608503,409.7366308959849,402.2906770876261,A3_raw_memory/B1/C3_physical
coordinate,5.513172934000977,23.768778278918045,25.767296759167582,408.770438193691,331.9099301319549,A1_whole_cycle/B1/C3_physical
local,49.433684962999905,23.768778278918045,30.447033006460362,408.770438193691,348.41346688330776,A1_whole_cycle/B1/C3_physical
