arm,init,seed,cv_mse_0,cv_mse,improvement,beat_start,r2_0,r2,heuristic_r2,heuristic_cv,evals_to_heuristic,rmse_0,rmse,evals,seconds,error
opt-ga,hot,5,0.006414,0.004880,0.239212,1,0.842144,0.847638,0.842144,0.006414,0,6.0847,5.9779,2000,33.47,
opt-ga,hot,6,0.006464,0.004467,0.308950,1,0.862466,0.899825,0.862466,0.006464,0,6.6680,5.6907,2000,35.20,
opt-ga,hot,7,0.006181,0.004171,0.325152,1,0.870453,0.893657,0.870453,0.006181,0,5.8603,5.3096,2000,35.20,
opt-ga,hot,8,0.006707,0.004282,0.361471,1,0.872438,0.895865,0.872438,0.006707,0,5.7641,5.2080,2000,35.04,
opt-ga,hot,9,0.006677,0.004381,0.343892,1,0.849755,0.883589,0.849755,0.006677,0,6.0216,5.3004,2000,35.63,
opt-pso,hot,0,0.006256,0.005477,0.124591,1,0.858037,0.880115,0.858037,0.006256,0,6.1148,5.6192,2000,32.00,
opt-pso,hot,1,0.005528,0.005174,0.064031,1,0.832372,0.850799,0.832372,0.005528,0,6.6106,6.2367,2000,30.72,
opt-pso,hot,2,0.006182,0.005263,0.148792,1,0.808888,0.867813,0.808888,0.006182,0,6.8569,5.7027,2000,30.62,
opt-pso,hot,3,0.005990,0.005231,0.126747,1,0.858451,0.880530,0.858451,0.005990,0,6.4371,5.9138,2000,28.86,
opt-pso,hot,4,0.007497,0.005203,0.305971,1,0.755459,0.825154,0.755459,0.007497,0,8.6018,7.2734,2000,27.11,
opt-pso,hot,5,0.006414,0.005254,0.180828,1,0.842144,0.841626,0.842144,0.006414,0,6.0847,6.0946,2000,27.73,
opt-pso,hot,6,0.006464,0.005464,0.154693,1,0.862466,0.886215,0.862466,0.006464,0,6.6680,6.0650,2000,29.07,
opt-pso,hot,7,0.006181,0.005304,0.141905,1,0.870453,0.871756,0.870453,0.006181,0,5.8603,5.8308,2000,30.15,
opt-pso,hot,8,0.006707,0.005294,0.210671,1,0.872438,0.880142,0.872438,0.006707,0,5.7641,5.5873,2000,29.71,
opt-pso,hot,9,0.006677,0.005213,0.219360,1,0.849755,0.885242,0.849755,0.006677,0,6.0216,5.2626,2000,29.78,
opt-aco,hot,0,0.006256,0.004984,0.203260,1,0.858037,0.885845,0.858037,0.006256,0,6.1148,5.4833,2000,30.09,
opt-aco,hot,1,0.005528,0.004779,0.135481,1,0.832372,0.863113,0.832372,0.005528,0,6.6106,5.9738,2000,30.47,
