N (points),classical VAT (s),pVAT (s),speedup
256,0.232 ± 0.005 s,0.011 ± 0.030 s,22x
512,1.801 ± 0.060 s,0.004 ± 0.000 s,444x
"1,024",13.361 ± 0.280 s,0.014 ± 0.001 s,967x
"2,048",infeasible (>cap),0.046 ± 0.001 s,N/A
"4,096",infeasible (>cap),0.161 ± 0.003 s,N/A
