Model,Hyperparameters,raw features,log + min-max,log + z-score,Δ min-max − raw,Δ z-score − raw,Δ z-score − min-max,RMSE raw (MPa),RMSE log+min-max (MPa),RMSE log+z-score (MPa)
CART (reference),sklearn default,0.825 ± 0.049,0.826 ± 0.049,0.826 ± 0.049,+0.001,+0.001,-0.000,6.744 ± 0.779,6.726 ± 0.780,6.733 ± 0.773
Random Forest (reference),sklearn default,0.909 ± 0.019,0.909 ± 0.020,0.909 ± 0.019,+0.000,+0.000,-0.000,4.904 ± 0.324,4.899 ± 0.330,4.903 ± 0.329
flat MoG-TSK 1st,pipeline default,0.695 ± 0.031,0.796 ± 0.019,0.713 ± 0.037,+0.101,+0.018,-0.083,9.022 ± 0.376,7.381 ± 0.357,8.743 ± 0.443
flat MoG-TSK 2nd,pipeline default,0.804 ± 0.032,0.841 ± 0.022,0.827 ± 0.029,+0.037,+0.023,-0.015,7.217 ± 0.559,6.499 ± 0.450,6.777 ± 0.498
flat MoG-TSK full-2nd,pipeline default,0.830 ± 0.027,0.861 ± 0.028,0.809 ± 0.121,+0.030,-0.021,-0.051,6.719 ± 0.468,6.072 ± 0.540,6.905 ± 1.811
fuzzy tree,demo-tuned,0.712 ± 0.032,0.740 ± 0.054,0.740 ± 0.054,+0.028,+0.028,-0.000,8.764 ± 0.549,8.294 ± 0.660,8.294 ± 0.660
fuzzy tree,library default,0.583 ± 0.071,0.689 ± 0.059,0.691 ± 0.058,+0.106,+0.108,+0.002,10.531 ± 0.937,9.066 ± 0.606,9.039 ± 0.603
mixture of experts,demo-tuned,0.775 ± 0.024,0.837 ± 0.029,0.837 ± 0.028,+0.062,+0.062,+0.000,7.754 ± 0.445,6.585 ± 0.492,6.577 ± 0.488
mixture of experts,library default,0.631 ± 0.120,0.758 ± 0.062,0.758 ± 0.062,+0.126,+0.127,+0.000,9.789 ± 1.459,7.995 ± 0.796,7.989 ± 0.794
