Dataset,Task,Raw MF,MF @ 1x (Δ),Reduction @ 1x,Max-lossless ×,MF @ max-lossless (Δ),Reduction @ max-lossless
Glass,classification,81.4,71.0 (+0.0015 ± 0.0049 acc),12.8%,5×,61.3 (+0.0000 ± 0.0073 acc),24.7%
Wine,classification,16.6,16.6 (+0.0000 ± 0.0000 acc),0.0%,7×,16.2 (-0.0074 ± 0.0234 acc),2.4%
BreastCancer,classification,16.4,16.4 (+0.0000 ± 0.0000 acc),0.0%,50×,5.5 (-0.0550 ± 0.0788 acc),66.5%
Digits,classification,172.2,157.5 (+0.0009 ± 0.0029 acc),8.5%,10×,75.0 (-0.0189 ± 0.0285 acc),56.4%
Concrete,regression,63.2,62.6 (+0.0000 ± 0.0000 R²),0.9%,10×,58.4 (-0.0122 ± 0.0332 R²),7.6%
Diabetes,regression,41.6,36.2 (+0.0057 ± 0.0178 R²),13.0%,3×,26.8 (-0.0057 ± 0.0244 R²),35.6%
