dataset,config,n_rules,fit_seconds,pooled_rmse,pooled_r2,pooled_rmse_deg,pooled_rmse_deg_theta1,pooled_rmse_deg_theta2,pooled_r2_theta1,pooled_r2_theta2,trained_rmse,trained_r2,trained_rmse_deg,trained_rmse_deg_theta1,trained_rmse_deg_theta2,trained_r2_theta1,trained_r2_theta2,holdout_rmse,holdout_r2,holdout_rmse_deg,holdout_rmse_deg_theta1,holdout_rmse_deg_theta2,holdout_r2_theta1,holdout_r2_theta2,pooled_rmse_deg_theta3,pooled_r2_theta3,trained_rmse_deg_theta3,trained_r2_theta3,holdout_rmse_deg_theta3,holdout_r2_theta3,error
double_frictionless,nb40_1st_g0_uniform_raw_probability,80,7.74,0.17454594372410914,0.6461819055834863,114.97258932040931,32.52698228892586,159.3090958271211,0.6952842515590851,0.5970795596078875,0.11091484626254634,0.8640246469712474,54.22432631085002,22.009552799255154,73.4583876307388,0.8749371164902136,0.8531121774522812,0.21866355342174743,0.49086351881845336,167.02103303941112,41.58253763453251,232.5143942188886,0.573327298280658,0.40839973935624874,,,,,,,
double_frictionless,nb40_full-2nd_g0_uniform_raw_probability,80,6.89,0.14529972979588543,0.7537889559737543,94.9847833593651,27.510200685467822,131.4815842538277,0.7820309301681292,0.7255469817793794,0.06439722586947726,0.9520719373318416,26.063659699143436,15.96613480114549,33.22215004085617,0.9341879249584777,0.9699559497052054,0.22432575644696753,0.44816119436903834,157.74848107880413,48.69044550692376,217.71175228194934,0.4149939252550624,0.4813284634830143,,,,,,,
double_frictionless,nb80_1st_g0_uniform_raw_probability,160,13.04,0.14502301882766244,0.7553037321040217,95.21197142870066,27.214644946520437,131.87115722216998,0.7866892713721388,0.7239181928359044,0.0732890655136399,0.9395610398292422,33.5291276519204,16.074416924952196,44.609616930885636,0.9332922245917525,0.9458298550667318,0.2237270698982934,0.4387096696781815,145.89161754777945,52.77355928166893,199.45846580719345,0.31276439602926576,0.5646549433270972,,,,,,,
double_frictionless,nb80_full-2nd_g0_uniform_raw_probability,160,13.77,0.12138943346812471,0.827646404930758,78.92401165424789,23.235764387702627,109.17004389721072,0.8445032623559156,0.8107895475056005,0.03499217313322066,0.9861382660572122,15.612883068479817,7.910698051345969,20.614196364653147,0.9838439340692162,0.9884325980452082,0.23438732579079863,0.3938529574990117,161.6569022913539,52.110449204762986,222.5992120393747,0.3299263915386801,0.45777952345934336,,,,,,,
double_frictionless,nb120_1st_g0_uniform_raw_probability,240,20.72,0.1288789411238813,0.8070800271399081,84.87342881622824,24.028066410364577,117.59953172791893,0.8337180913060704,0.7804419629737458,0.05200047659695329,0.9705145159171811,26.576213218449897,9.425822843701177,36.38329399304284,0.977062581053246,0.9639664507811161,0.2259411320729708,0.43528228452995166,154.5072853832575,50.73378703926757,212.53490378208699,0.36486295743459407,0.5057016116253092,,,,,,,
double_frictionless,nb120_full-2nd_g0_uniform_raw_probability,240,23.57,0.10725144601723145,0.8627627521969858,67.09083937025693,21.986728119124475,92.29813238320104,0.8607713647968838,0.8647541395970879,0.025751376041212987,0.9924821324223712,11.420213029319,5.86171948171624,15.049344702933864,0.991129337359955,0.9938349274847873,0.23508226101029994,0.38777973141180067,159.98764951873113,53.07387506740919,219.94376504549007,0.30492050817480487,0.47063895464879646,,,,,,,
double_frictionless,nb200_1st_g0_uniform_raw_probability,400,40.56,0.1156466523369673,0.8425037665194509,74.23427345330093,22.682925310363277,102.50336389428107,0.8518145786808151,0.8331929543580867,0.030124387817859633,0.9897846713113367,13.759079811185568,6.620959290098592,18.297197943401212,0.9886825695042221,0.9908867731184514,0.22057359277926766,0.4619428997427986,150.97400186419935,49.47702498448209,207.6976708498857,0.3959400599395124,0.5279457395460848,,,,,,,
double_frictionless,nb200_full-2nd_g0_uniform_raw_probability,400,43.57,0.10196415459494304,0.8746171411692834,62.35461001275124,21.629314515777946,85.48899071378797,0.8652611409653971,0.8839731413731697,0.02135808328815404,0.99477008461802,9.000473096226505,5.118046589046318,11.654296676511434,0.993237388001657,0.996302781234383,0.2207523479446039,0.45584699890485597,146.18001047307442,51.30191390797701,200.26308834429472,0.35055853389511393,0.561135463914598,,,,,,,
double_frictionless,nb300_1st_g0_uniform_raw_probability,600,71.74,0.10739878624259704,0.8612223581644987,66.01133890247449,22.61640272265904,90.57313097868028,0.8526824758029768,0.8697622405260206,0.029163463347089826,0.9902844015067722,12.502548397861267,6.876646188235192,16.28923479122199,0.9877915828366782,0.9927772201768661,0.22749128604103536,0.4300117587455344,157.80394158892673,50.23011035951217,217.44218536262474,0.3774114289627787,0.4826120885282901,,,,,,,
double_frictionless,nb300_full-2nd_g0_uniform_raw_probability,600,81.5,0.09813863561485217,0.8824030484052188,58.37646065921729,21.601955616363572,79.6804733403545,0.8656017874972887,0.899204309313149,0.023153851220855486,0.993793701459718,9.287743021817354,5.780254783291386,11.79461722646695,0.9913741884771544,0.9962132144422815,0.22521748339220024,0.4317957986380843,147.42388075753792,52.9336857776018,201.65719958688226,0.3085876234046958,0.5550039738714728,,,,,,,
