dataset,config,n_rules,fit_seconds,pooled_rmse,pooled_r2,pooled_rmse_deg,pooled_rmse_deg_theta1,pooled_rmse_deg_theta2,pooled_rmse_deg_theta3,pooled_rmse_deg_theta4,pooled_rmse_deg_theta5,pooled_r2_theta1,pooled_r2_theta2,pooled_r2_theta3,pooled_r2_theta4,pooled_r2_theta5,trained_rmse,trained_r2,trained_rmse_deg,trained_rmse_deg_theta1,trained_rmse_deg_theta2,trained_rmse_deg_theta3,trained_rmse_deg_theta4,trained_rmse_deg_theta5,trained_r2_theta1,trained_r2_theta2,trained_r2_theta3,trained_r2_theta4,trained_r2_theta5,holdout_rmse,holdout_r2,holdout_rmse_deg,holdout_rmse_deg_theta1,holdout_rmse_deg_theta2,holdout_rmse_deg_theta3,holdout_rmse_deg_theta4,holdout_rmse_deg_theta5,holdout_r2_theta1,holdout_r2_theta2,holdout_r2_theta3,holdout_r2_theta4,holdout_r2_theta5
quintuple_frictionless,nb40_1st_g0_uniform_raw_probability,200,16.85,0.159783728088104,0.5768292860764196,67.33480639390761,23.521735099739356,27.29316951851268,28.25371564600708,59.471180412805765,130.5243191461217,0.6346270303517066,0.4662312191254203,0.5591234499246517,0.4523299211969424,0.7718348097833765,0.12978075095477862,0.6703520517437557,39.222752432802274,21.32451298283484,20.808910112792287,25.606373797806715,44.21563826042413,64.75852764028414,0.631049764955736,0.6277131394374005,0.6301163399788681,0.5311671570788749,0.9317138572678989,0.23086594697130705,0.05878670763633167,192.29142236806405,25.41009040154981,24.77771877737892,38.39022088682014,53.698424568180336,423.39463586445794,0.6264984505113893,0.365902965620861,0.34187936060085655,-0.02828348577656392,-1.0120637527748846
quintuple_frictionless,nb40_full-2nd_g0_uniform_raw_probability,200,17.1,0.1409613757503276,0.6661200139800008,55.12732101816935,21.437922715180893,24.867719140110914,25.960674657890277,51.17971386910888,104.03749269956143,0.6964969166207953,0.5568843065369531,0.6277816249635448,0.5943965837526631,0.8550406380260478,0.09844416341705874,0.8074787731962637,23.993310828943287,17.9590510242185,15.857344963004177,21.463452530189414,29.52332814638691,31.17860196272923,0.7383165135696899,0.7838078163437335,0.7401228179634383,0.7909756614555918,0.9841710566488655,0.22884122053531614,0.08106387124260421,193.39699906516816,25.99988728465869,23.751960601440327,35.583598416948426,53.393449728966694,426.2097998821443,0.6089584389198958,0.4173174509066174,0.43458930680496866,-0.016636586947096133,-1.0389092534713646
quintuple_frictionless,nb80_1st_g0_uniform_raw_probability,400,32.64,0.14113089897836942,0.6661746417204121,56.84122381573941,21.696852977388176,25.129835709233312,25.098352084148875,50.774947653991305,108.83170018819865,0.6891211348135674,0.5474938120040695,0.6520985215066959,0.6007868247937704,0.8413729154839568,0.10570525830847505,0.777223180953665,31.741793759861714,19.493684351599146,16.400815810697576,21.744209961727414,33.02698724567453,53.15189849126876,0.6916830453304512,0.7687349830688791,0.7332795898515652,0.7384202334032357,0.9539980531141941,0.23994613628526537,0.011987624170775835,214.26674454897685,24.763054125858073,24.482421387213435,35.7616993346789,49.51081511658459,473.92865638052336,0.6452777737810109,0.38092706110417085,0.4289152222779171,0.1258420227432674,-1.5210239590524872
quintuple_frictionless,nb80_full-2nd_g0_uniform_raw_probability,400,35.41,0.11926438663667782,0.761159553987293,46.69487590126462,18.096952800764132,21.787954375083444,21.27609048093674,42.7536998882925,88.4267586217968,0.7837238584030093,0.6598439981543376,0.7499945266122947,0.7169564218086601,0.8952789649581632,0.07687835574744728,0.882382222026328,17.83167371318817,15.519134756072258,13.987563048088834,15.257115492798333,18.699521012068395,23.89342617175831,0.8045910023416609,0.8317856063915695,0.8686851469744977,0.916145341436012,0.9907040129878996,0.22969342791959046,0.0834066415508103,199.30620640929445,23.57278422462939,21.005735174667773,33.905065921026114,56.10768101540221,439.6820182085653,0.6785586456154427,0.5442687025268171,0.48667374771139016,-0.1226242285522916,-1.1698436595473067
quintuple_frictionless,nb120_1st_g0_uniform_raw_probability,600,50.89,0.1278894864430279,0.7254123875988321,51.24748921667575,19.577677748451563,22.829217873273663,23.314746037486863,45.25414222727799,98.16084926700483,0.7468837328671725,0.6265544492452575,0.6997885598038787,0.6828807745629688,0.8709544215148827,0.08439149868973694,0.8585320398775653,25.895559102493262,15.945154977499394,14.289640169143368,15.345048183235253,25.85015950291336,44.6178985684183,0.7937152904314954,0.8244415952560471,0.8671671479958811,0.8397519753344431,0.9675841903699604,0.23070639920400457,0.06934873336581115,197.65956385212587,26.32361377963744,21.775081276111887,34.934320685217195,55.18797065700725,435.7904430309207,0.5991600419937029,0.5102745742339536,0.45503464437645236,-0.08612202798989155,-1.1316035657851615
quintuple_frictionless,nb120_full-2nd_g0_uniform_raw_probability,600,55.6,0.11223965907650685,0.7888063600280826,43.2484428144305,16.413444267594446,20.79150141297789,20.30477764110192,40.34721178069792,81.30356604788614,0.8220913126531432,0.6902459966209151,0.7723003645050552,0.7479231559277706,0.9114709704335292,0.060954019549442066,0.9283332196332393,13.564478917366301,11.3828639910641,12.45463521486728,10.201533027475788,15.323235424996353,17.216709631150653,0.8948733943681977,0.8666352472715536,0.9412916514061028,0.9436923790118243,0.9951734261085186,0.23224686568199138,0.05853260025170939,197.36499770205518,24.856649227902025,22.334704003583628,32.21847052650089,59.17229909198896,434.8662193744136,0.6425912711313506,0.48477908379607015,0.5364739689171779,-0.24860957199418077,-1.122571750591871
quintuple_frictionless,nb200_1st_g0_uniform_raw_probability,1000,99.28,0.11583426571595157,0.7750810850556855,45.736131658951074,17.12871818382468,20.98186439951666,21.379496925853953,41.089158946680605,87.06282331498184,0.8062474469821777,0.6845479341974297,0.7475584586844197,0.738567003508233,0.8984845819061671,0.06286981462273533,0.9215550750982086,14.803605748418612,11.800488367870907,10.548444186399307,13.521031278081072,17.653391353741,18.728374253737055,0.8870179343019198,0.9043343869901193,0.8968691447511387,0.9252652598826777,0.9942886495651873,0.22811821311930533,0.09200571403597255,196.15082427949042,25.200471929299123,21.241393793909193,34.03807472830374,55.2731238232061,432.52255430609085,0.6326353739000978,0.533985849881842,0.4826383131770393,-0.08947631264296496,-1.0997546541361514
quintuple_frictionless,nb200_full-2nd_g0_uniform_raw_probability,1000,107.75,0.10636660726738947,0.8104069182982894,40.9753864189259,15.228683490179295,19.86620046198554,19.634617552220554,37.62253083844486,77.24868740729465,0.8468480867297874,0.7172029656363897,0.7870827969751212,0.780819501244597,0.9200812409055511,0.048800219326572164,0.9555091453377681,10.870216277755382,7.947338641687361,10.225787045897412,8.507949520266326,12.470675128548377,13.970617532199315,0.9487548242862966,0.9100973427025683,0.959166294396406,0.9627053821185256,0.9968218831850444,0.22752687673748925,0.10232692161206085,197.21700860192422,22.556128911540345,21.21585026425246,32.24939582675229,56.54740428274124,435.05886807792086,0.7056872182680822,0.5351059730810015,0.5355836993846634,-0.14028948796848928,-1.1244527947049536
quintuple_frictionless,nb300_1st_g0_uniform_raw_probability,1500,174.19,0.11209308967838316,0.7903179599521517,44.35830497306919,15.9987225932092,20.540745011934057,20.416297687781572,40.300618173579274,84.37683173543898,0.8309682367208678,0.6976725321303368,0.7697923038217709,0.74850502452108,0.9046517025667031,0.0553746567255561,0.9411301025686484,13.387245291809972,9.516863551504775,10.563539864963975,10.45243158304811,15.510225218062583,18.550261557872236,0.9265152478230401,0.9040603805761038,0.9383683703375596,0.9423097476530652,0.9943967664534732,0.22310799864996567,0.13807548333057734,194.28587266544503,22.895370772077648,21.541978815748603,32.04055954467509,53.07449544709456,428.83941890861524,0.6967677771795879,0.5207034841034571,0.5415790331579515,-0.004526783853628036,-1.064146093934482
quintuple_frictionless,nb300_full-2nd_g0_uniform_raw_probability,1500,187.96,0.10606398043205141,0.8124477013497062,40.95678085748563,14.68990982253179,19.819273280777566,19.192393010555964,38.632090999880845,76.92792758532846,0.857493076236476,0.7185374124253727,0.7965657293611508,0.7688987322197279,0.9207435565058033,0.045847832279456074,0.9611092058757749,10.68017312829424,6.400682130079017,9.274011662096939,8.28846750263423,13.774844775865608,13.598140463727137,0.9667599193906146,0.9260540631555328,0.9612459172295255,0.9544970390576941,0.996989090545507,0.2219143719246374,0.14596061469596192,191.8193898985555,22.654397993020417,21.63726074188289,31.128890641745574,54.184272587522045,423.1867858003216,0.7031171985652889,0.51645417229144,0.5672953357491769,-0.04697489322482773,-1.0100887399012684
quintuple_frictionless,nb300_2nd_g0_uniform_raw_probability,1500,189.36,0.10738137398376219,0.8076136906817906,41.58223065071604,15.034889302539755,20.01242403308959,19.4188401666467,38.99246557419958,78.23912571376307,0.8507211861996415,0.7130246352227193,0.7917368494739836,0.7645670242329898,0.9180187582796193,0.048776776487271786,0.9551706021336701,11.30419466859102,7.555525999339685,9.55561977301372,9.148375087087098,14.265436067675497,14.259481414796483,0.9536831561961034,0.9214951006673204,0.952787509600785,0.9511981445748054,0.9966890996293358,0.22159248641996948,0.14756682913403055,191.24651974063104,22.80745404824083,21.57417518522269,31.39434960231484,54.074543946175645,421.87779045535626,0.6990920897314794,0.5192697124162298,0.5598838862158007,-0.04273872645223231,-0.9976728162411248
quintuple_frictionless,nb300_full-2nd_g0_uniform_raw_probability_l20.0001,1500,212.42,0.11825827366761298,0.7674380777660811,47.76046775013982,16.76408622303094,21.307880657143947,21.407229643217022,43.03891655776483,91.43102982086977,0.8144087582869537,0.6746687849000115,0.7469031176731606,0.7131673685106107,0.8880423594596687,0.06302163793479387,0.921698762316338,14.988108499701694,11.849444924390761,11.243655330177555,12.625345289300098,17.393542176924516,19.860845869691612,0.8860785347866845,0.8913088739319853,0.9100801625214782,0.9274491842837708,0.9935770560577718,0.22632994237172346,0.11410338910942323,198.99002163026182,24.17299509530626,21.17702833931709,33.41702671979176,51.93380361302742,439.4752845023152,0.6619811534695786,0.5368057935555741,0.501345318178869,0.03818834578343,-1.1678036654403354
quintuple_frictionless,nb300_full-2nd_g0_uniform_raw_probability_l21e-09,1500,215.62,0.08605090941291589,0.8733428044720594,26.645354181790584,12.885806009960435,17.213910815999636,15.925935340396748,30.694586019935528,43.49389322486646,0.890346907706317,0.7876734412441899,0.8599201216375555,0.8541086785836036,0.9746648731886309,0.02666084219687007,0.986572415127446,7.1768669115512385,3.94285393158247,4.787898326240717,5.4888368375864935,8.121495755437724,11.08968000832944,0.9873866361052025,0.9802908053419663,0.98300466903124,0.9841824843142056,0.9979974808446158,0.23768233502302435,0.040688395028213795,215.91608477796152,21.345491521255607,21.765603294312395,31.115297193145356,54.24621035390489,477.7641612521725,0.7364322270210009,0.5107008044227626,0.5676731625344356,-0.04936984462117677,-1.5619943742159532
quintuple_frictionless,nb300_full-2nd_g0_quantile_raw_probability,1500,219.93,0.10083251070900262,0.8269380388003984,34.88581944889672,15.082523731286653,19.970428900546867,18.861093152035103,34.10109198779298,62.77082228933135,0.8497737797608085,0.7142277801925643,0.8035284915090246,0.8199295418216376,0.9472306007179571,0.04951157157892184,0.9549870463138694,9.71283261057439,7.753536655230746,10.722215417298749,9.087547703760027,11.066183064019517,9.569139021443592,0.9512236568501311,0.9011565041992773,0.953413252404242,0.9706328412355216,0.9985089768801753,0.22633872815022918,0.1143874309291634,198.1812014908418,22.810795970523742,20.750859015165613,32.09942785894978,54.881467013944544,437.47647236007697,0.6990039006224984,0.5552609720004316,0.5398929664267803,-0.074091292982019,-1.1481293914218744
quintuple_frictionless,nb40_1st_g4_uniform_raw_probability,200,10.49,0.15963296742611252,0.5764077974420803,67.18987769854505,24.012804755997404,27.146550971290157,28.398645264662047,58.843694414114346,130.34486901551136,0.619211797143016,0.47195061321953324,0.5545888286383707,0.4638259881760881,0.772461760033393,0.13502822855092525,0.637071393623118,44.13077520024385,25.001193776700084,21.839792080333996,24.412190249138824,43.87611589806075,78.19540786670115,0.4928562927772918,0.5899129650771694,0.6638117920994719,0.5383396457771498,0.9004362723845074,0.23913328293310968,0.006412769337611435,208.69082519982558,25.664879993161367,23.99919991037672,38.36046487662384,51.64352691269125,460.85363816941555,0.6189706206689458,0.40512377816882306,0.34289917526506186,0.04891012016113727,-1.3838398475759108
quintuple_frictionless,nb120_full-2nd_g4_uniform_raw_probability,600,43.14,0.10728695419401735,0.8065678696455791,40.9650697347384,16.198587572277745,19.829688962494608,18.912261632946848,39.056610632431166,76.49824451585471,0.8267185785379446,0.7182414989457372,0.8024610257790985,0.7637917829922034,0.9216264619729113,0.059578387340124626,0.9301101636081242,14.07565454546895,11.339435621170423,10.85150541185874,11.736809687619541,15.870021927327226,18.832737105619795,0.8956740308197595,0.8987583946863764,0.9222913955697911,0.939602177131593,0.9942248198331006,0.22922868447629455,0.08814882810153293,195.4565721875012,22.455437793637188,23.38669446543409,29.61965870406156,58.6625338888486,430.8672148445622,0.7083089924335364,0.43510105088484285,0.6082361228307818,-0.22718887243442198,-1.0837131532070745
quintuple_frictionless,nb40_1st_g8_uniform_raw_probability,200,8.83,0.1581575235154683,0.5896151865739566,71.90925743895147,22.812503153481295,26.831879807341085,27.416690836617384,56.87954145137304,143.6223843306978,0.6563284438806879,0.4841215056872089,0.5848587112548893,0.49902267407739553,0.7237445979696013,0.13207353490492002,0.6759929176367655,63.21963022765356,19.934852728295986,20.795229079654945,23.349149827081224,37.55487996200813,131.14197084924317,0.6775698748829708,0.6282025062074251,0.6924532596521096,0.6617802323851572,0.719958715056165,0.2113015302973024,0.20138470746018594,171.1920402539273,27.013544978910197,22.45751876117107,36.10455485581501,49.65947426862852,376.20459753211753,0.5778729837002337,0.4790972797356605,0.41791249253218976,0.12058471978815544,-0.5885439384553097
quintuple_frictionless,nb120_full-2nd_g8_uniform_raw_probability,600,40.19,0.09981029337874096,0.830195502470558,38.87697787847866,15.974728508012344,18.72583229423827,19.3449044745067,30.83218765470127,75.00932724734595,0.8314748673209598,0.7487376119601368,0.7933197212176781,0.8527977059288433,0.9246476059251715,0.06763551692617316,0.9128068590780822,26.875789717690076,11.76663093280381,11.43550765477536,12.775760010068117,17.359244329500573,53.644687699623056,0.887665330438147,0.8875679995233263,0.9079248416174213,0.9277350241019259,0.9531410997095906,0.2473781703327853,-0.06304837895555085,214.41056259065581,27.67980632371939,24.00209807306298,35.85086720081099,57.76843243502069,473.17512392044677,0.5567935402634014,0.40498009403150215,0.4260637976154652,-0.19006570061781236,-1.5130136260703106
quintuple_frictionless,nb120_1st_g0_uniform_raw_probability_harmonic8,600,487.07,0.16796261023724995,0.5426447761565552,78.28895723045898,23.15136614050005,27.78870247941339,27.589110177631465,63.83391709014599,156.53011981736051,0.6460426356881519,0.4466731281077181,0.5796207734905072,0.3690297432654912,0.6718576002309072,0.12907332910956126,0.6819648037411509,44.73554639670421,21.622488511567934,22.538638882579004,24.615979962592704,36.333554517744815,84.28967701642645,0.6206667615849484,0.5632484944655665,0.6581754554069643,0.6834210717040508,0.884312235544224,0.22574230537737677,0.10403467854812032,192.92308233569543,24.71959970149828,23.422296846005874,40.15145526382188,47.58871301786311,425.51156379596046,0.6465216208072367,0.4333798109885485,0.2801087907127686,0.1923974299232104,-1.0322342596911627
quintuple_friction,nb40_1st_g0_uniform_raw_probability,200,15.85,0.12361722120109475,0.7097644282402431,27.613734425258308,15.158750238099719,13.824343798917619,20.10251542115145,22.644457934034413,49.747450717678255,0.7671067586610749,0.5729039052962601,0.6375309969501595,0.6994099972088169,0.8718704830849039,0.12445612627536765,0.6949154505864574,25.6053486010972,14.909204903618969,14.034190577987015,18.315495787644,24.928839865127372,43.612177724952296,0.7812206308685761,0.5585203802814717,0.5528643921966472,0.7127801671625227,0.8691916824230693,0.10766465496703631,0.7609464058907249,22.730929240426104,13.433010347066904,9.83381456147821,20.630056661983364,26.238938911924482,34.528899370701,0.8149316955591345,0.7287846004278058,0.6066079884709812,0.7324418024702599,0.9219659425254431
quintuple_friction,nb40_full-2nd_g0_uniform_raw_probability,200,16.54,0.1032376445599799,0.7934423297423213,21.045389468985984,13.371174324625187,12.193923123212482,17.016443469801686,18.191452784408394,35.58895506732219,0.8187954108686004,0.6677052696579298,0.7402786473707598,0.8060072758444689,0.934425044969848,0.09482559131676324,0.818220564158767,17.33041675708361,11.875326259180717,11.482955827879907,14.826804439985102,16.88241623178045,26.90696877835456,0.8612003090935487,0.7044415987524656,0.7069801667597633,0.8682715758623845,0.9502091703256724,0.08726923041180792,0.8374929618223261,17.242364672927682,11.587625682890664,9.541234079870028,16.750881408343265,17.232324814116993,26.146556836070193,0.8622872144853242,0.7446831852451039,0.7406417764104163,0.8845979645596728,0.9552546684111133
quintuple_friction,nb80_1st_g0_uniform_raw_probability,400,31.81,0.1045175545194868,0.7894960333554929,22.131552924606808,13.787719622821587,12.473555575218164,15.727728178824409,19.061306228748183,38.63473235800479,0.807329609696833,0.6522900796752655,0.7781282265485312,0.7870115800918702,0.9227206707649642,0.09180089517586539,0.8309025386217564,17.586923336171893,13.268198050070572,11.093322774809417,12.538789163095977,16.860797087231955,28.38810948947734,0.8267308321465039,0.7241587454505285,0.790437728234635,0.8686087352312453,0.94457665204587,0.09576031076528006,0.8063977729094003,18.553010287840852,12.589014421046786,9.815058578080283,17.895731010763406,22.544862787720078,25.253203127374697,0.8374567984634069,0.7298181892513298,0.7039782773492749,0.8024755243434952,0.958260075139495
quintuple_friction,nb80_full-2nd_g0_uniform_raw_probability,400,36.25,0.08087293633012455,0.8726817741996875,15.997023549815383,10.788350588191609,10.517390259137171,11.684906480152366,13.783642427764104,26.94427523544934,0.8820385253725626,0.7527976886311104,0.8775325860807089,0.888627319840032,0.9624127510740238,0.0653952039485796,0.9139569148475882,10.09795172256282,8.533317663667253,9.652032514256556,8.654777098566326,8.93200310720188,13.754201424211935,0.9283306897331471,0.7911793358377965,0.9001579079491783,0.9631270384616225,0.9869896022561966,0.07446019541730875,0.8801752208458365,13.316066988240554,9.781104639350414,9.551247638912697,12.181316490780187,14.917018614207358,18.132565868228074,0.9018791825600023,0.7441469922172725,0.8628445248303392,0.913525155840466,0.9784802487811024
quintuple_friction,nb120_1st_g0_uniform_raw_probability,600,53.34,0.08976814549802978,0.8428462747233663,17.918909914191342,12.215058982223303,11.280396288928394,13.373895457427412,15.608271523359738,30.108178897717142,0.8487758238352976,0.7156290277687556,0.8395698781028081,0.8571894480897204,0.9530671958202497,0.07114951037367304,0.8962762484188834,11.957689529564858,9.951913145959303,9.127426452674014,10.705521912872742,11.59529432099737,16.838116156389987,0.9025211149951557,0.8132620423623871,0.8472372078935122,0.9378596288489358,0.9805012479944258,0.07894167715949449,0.8668615746295998,14.74201121105375,9.793196902936442,9.955364857005135,13.092662803735939,16.101389600910053,21.469650936747204,0.9016364213870685,0.722038479508545,0.8415542258022722,0.899248286271552,0.9698304601785619
quintuple_friction,nb120_full-2nd_g0_uniform_raw_probability,600,59.48,0.07301499565495098,0.8962463098942791,13.261070287066623,8.884355951617506,9.99105245169366,10.66408062840377,12.485077067347135,20.758787320033345,0.9200014729091701,0.7769208265402365,0.8979960697932668,0.9086237923922015,0.9776893878365206,0.05390292201414647,0.9410200568450092,7.734928944873735,7.252371968324352,8.19704569519938,7.288606305398307,5.755615099641321,9.649159785431738,0.948232458547404,0.8493911014192015,0.92919060514807,0.984689344806903,0.9935967743034679,0.07166655548742479,0.8900642592899703,13.006760698092297,9.183339413573243,9.392478581858763,10.541584969296851,15.36092892074427,18.062214471613533,0.9135058730176036,0.752582312755531,0.8972843727941604,0.9083018267950692,0.9786469110874876
quintuple_friction,nb200_1st_g0_uniform_raw_probability,1000,103.3,0.07560010119926455,0.8884929962761238,14.460913108739266,9.967350377189051,9.787000580894922,10.92919788928444,13.527557508338788,23.409707540588688,0.8993092581381916,0.7859398738841435,0.8928612328636557,0.8927272405727792,0.9716273759218488,0.05615992932432396,0.9352556426878325,7.75772507549859,8.698238529020054,8.555087673709785,6.975366960199791,5.800547772751982,8.352276002927765,0.9255336572873468,0.8359467458322467,0.9351461119041149,0.9844493586451964,0.9952023397702574,0.07172285173877213,0.8889697342996993,13.18663244315455,10.367528190738758,9.27941181344131,10.064275483128437,14.945498288976548,18.739949078345507,0.8897608648604092,0.7585032926349763,0.9063754535394413,0.9131946438963495,0.9770144165673198
quintuple_friction,nb200_full-2nd_g0_uniform_raw_probability,1000,107.6,0.0661452632344334,0.9147746344808116,11.853860727924559,8.054083742786242,8.82816200584312,9.66575557769727,12.101584321627882,17.885474203014013,0.9342550541059346,0.8258284818302346,0.9162004506938215,0.9141510204942825,0.9834381652797848,0.048197624966823595,0.9534559338382227,6.089254710603561,5.868526318663961,7.953628160507359,5.897734813497661,4.225720712166504,5.920753424775923,0.9661034489004279,0.8582031813344374,0.9536369092587127,0.9917469995332913,0.9975891301642444,0.0688919910318825,0.8971962625142746,12.321732649342637,10.03270225350205,8.846160043619998,9.87418722360613,14.675067501168154,16.35110503586682,0.8967663709351511,0.7805276060694973,0.9098787078059141,0.9163076158495829,0.9825010119112279
quintuple_friction,nb300_1st_g0_uniform_raw_probability,1500,177.36,0.07138173092087347,0.9013073308581356,13.550128314149593,8.722219380972108,9.421995288580362,10.437532284543556,12.75130133613195,21.946321207574364,0.9228947229156518,0.8016088411541686,0.9022839891525467,0.9046853422845845,0.9750637587837263,0.0518408294247019,0.9453584672973936,7.150737683525744,6.981004847198376,7.951252703709682,6.897904092829395,5.857334156785721,7.8625030721772635,0.9520340248827681,0.8582878676965058,0.9365785449725414,0.9841433919489869,0.9957485069861653,0.06902673081799392,0.8965775810885204,12.336276284495169,10.02239653666153,8.90699418653454,10.103975626722029,14.276765533658825,16.58973259252491,0.8969783477483355,0.7774986481773624,0.9056353627274598,0.920789021340477,0.981986525448967
quintuple_friction,nb300_full-2nd_g0_uniform_raw_probability,1500,193.7,0.0648809721316812,0.9183077870733835,11.535838481093684,7.519348891471158,8.752122558190187,9.571384919282355,11.845409946673684,17.329525215837233,0.9426952578255454,0.8288159370404939,0.9178287999770909,0.9177471669472292,0.9844517735765579,0.04466592544556162,0.9602847130529188,5.514632327646647,4.718723354361471,7.376302407676052,5.5327979968470435,5.244502723665949,4.154876502218709,0.9780847498655333,0.8780411426339304,0.9591970534205878,0.98728785259849,0.9988127667460527,0.06788515376981648,0.9003954953676283,12.06400322640113,9.910022052531444,8.421947721445592,10.077482306027747,15.192180064726644,15.040117818065184,0.89927562312453,0.801072237094872,0.9061295751168765,0.9103054773050203,0.9851945641968431
