dataset,config,train_t_end_s,test_t_end_s,in_window_rmse,in_window_r2,in_window_rmse_deg,extrap_rmse,extrap_r2,extrap_rmse_deg,t_break_s
double_frictionless,nb40_1st_g8_uniform_raw_probability,10.0,20.0,0.18386611302549283,0.6199439112797342,118.77771464585736,0.9886653148027473,-29.442566617876206,827.8016972036673,7.755
double_friction,nb300_full-2nd_g0_uniform_raw_probability_l21e-09,10.0,20.0,0.012012875472385644,0.9978900850056835,3.1053691155352015,1489.3389746472205,-63075227.684750736,338554.94917039055,10.055
triple_frictionless,nb40_full-2nd_g0_uniform_raw_probability,10.0,20.0,0.1619523463757172,0.6091397585474755,59.28965469655442,13.727302377631412,-3365.457401697791,6575.803028790563,9.145
triple_friction,nb300_full-2nd_g0_quantile_raw_probability,10.0,20.0,0.004769542313384004,0.9995030702089864,0.9504681561967703,11.204546039736753,-13474.712507759758,2283.629493445835,10.095
quintuple_frictionless,nb40_1st_g8_uniform_raw_probability,10.0,20.0,0.2113015302973024,0.20138470746018594,171.1920402539273,0.583495866562401,-6.022774505572315,274.39611351529777,2.37
quintuple_friction,nb300_full-2nd_g0_quantile_raw_probability,10.0,20.0,0.06719860294177804,0.9015911818721459,11.348502609198231,924.850426068597,-66869838.22880999,124107.20284144343,9.035
