dataset,config,n_rules,fit_seconds,pooled_rmse,pooled_r2,pooled_rmse_deg,pooled_rmse_deg_theta1,pooled_rmse_deg_theta2,pooled_r2_theta1,pooled_r2_theta2,trained_rmse,trained_r2,trained_rmse_deg,trained_rmse_deg_theta1,trained_rmse_deg_theta2,trained_r2_theta1,trained_r2_theta2,holdout_rmse,holdout_r2,holdout_rmse_deg,holdout_rmse_deg_theta1,holdout_rmse_deg_theta2,holdout_r2_theta1,holdout_r2_theta2,pooled_rmse_deg_theta3,pooled_r2_theta3,trained_rmse_deg_theta3,trained_r2_theta3,holdout_rmse_deg_theta3,holdout_r2_theta3
double_frictionless,nb2_1st_g0_uniform_raw_probability,4,1.67,0.26161534177735646,0.20159025282725845,170.93454852198286,49.584552540917215,236.59799641194274,0.29189094067302823,0.11128956498148868,0.2689786693194598,0.19743573421797533,129.85353076175846,54.54591045384029,175.3528515746224,0.23187766888503958,0.1629937995509111,0.27103873608556645,0.21078279493576985,202.26190117055373,53.82132328806364,280.93240911253986,0.28520480871935605,0.13636078115218364,,,,,,
double_frictionless,nb2_full-2nd_g0_uniform_raw_probability,4,0.31,0.25163918546154806,0.26570255300932344,166.19472115997243,46.62497416939013,230.36380459305127,0.3738987624760134,0.1575063435426335,0.2623842968992794,0.2369072280689194,127.02386005032514,52.960214874999856,171.6547048133637,0.27588844484772024,0.19792601129011855,0.26955804286896595,0.21973803749588317,201.40420667930158,53.41269465126155,279.77561185051286,0.2960175112934932,0.14345856369827314,,,,,,
double_frictionless,nb3_1st_g0_uniform_raw_probability,6,0.37,0.24995488623706472,0.278342582064423,166.23377918196414,45.601289944793535,230.6249358538821,0.4010899378607621,0.15559522626808397,0.24567158691797694,0.331273464512766,119.0902493436765,49.47588202657095,160.9879252464945,0.3680349054577182,0.2945120235678138,0.2510203038695278,0.30522897033518276,173.49777775316895,55.667087546710476,238.96471106555208,0.2353373469208231,0.37512059374954243,,,,,,
double_frictionless,nb3_full-2nd_g0_uniform_raw_probability,6,0.37,0.2391555284030331,0.3421569867637738,160.22948888929227,42.88581461222704,222.50344969122054,0.4702942570072246,0.21401971652032303,0.23076928385023554,0.4065349471881431,109.57186692488277,48.05384274071796,147.31875726009523,0.4038408054289182,0.409229088947368,0.2666302711341976,0.23654124644256191,199.17862553827877,52.85022110560508,276.6787015144542,0.3107663120649379,0.16231618082018595,,,,,,
double_frictionless,nb5_1st_g0_uniform_raw_probability,10,0.56,0.24104625133437843,0.3317257253862819,161.50099052830865,43.22181680633814,224.26995883356463,0.46196145408937106,0.20148999668319278,0.22371493300985534,0.4567565484890333,115.950269752432,39.1811818315691,159.2286566595506,0.6036662430766307,0.30984685390143585,0.2069636191231857,0.5309496656888189,146.1845465742526,44.663225779415335,201.85400560111933,0.5077643632244555,0.5541349681531822,,,,,,
double_frictionless,nb5_full-2nd_g0_uniform_raw_probability,10,0.69,0.21904080577502213,0.44842030366090513,146.87098531098138,39.20313798055768,203.97374003757096,0.5573616727153222,0.33947893460648804,0.15348283374315605,0.7391318451911169,74.54411242931572,30.80876772927767,100.81899239107867,0.7549500281767364,0.7233136622054972,0.268755186531402,0.2412238689677183,212.2157956500487,47.49382881919582,296.3366735165583,0.44339481901004274,0.039052918925393865,,,,,,
double_frictionless,nb8_1st_g0_uniform_raw_probability,16,1.14,0.23058807612151466,0.38792590695254964,154.2636224207925,41.493792751317095,214.17935373859112,0.5041233932896956,0.2717284206154037,0.1895805736163496,0.5993180324937686,89.88273056317261,39.56543028370013,120.7989537763031,0.5958544630398277,0.6027816019477094,0.20940521521068606,0.5280307614328414,155.48372794306144,41.94291761724966,215.84988063905996,0.5658996318653609,0.49016189100032215,,,,,,
double_frictionless,nb8_full-2nd_g0_uniform_raw_probability,16,1.19,0.20692471292012782,0.50799860235672,138.86554767964248,36.958333063607604,192.8765467388233,0.6066020398646532,0.4093951648487869,0.1337383951658586,0.7988461187808447,61.30962914265446,29.25565090432593,81.62014543838956,0.779033960780379,0.8186582767813102,0.27223554870198935,0.21690433198593367,211.98868710412214,49.707780172826325,295.64766785914065,0.39029238752124773,0.04351627645061962,,,,,,
double_frictionless,nb12_1st_g0_uniform_raw_probability,24,2.91,0.21565619289116297,0.469106032069487,146.34088320301194,37.45657928515865,203.53946266395064,0.5959235130577496,0.34228855108122436,0.1968970423914784,0.5867194905018898,107.4091471210989,29.315705141179986,149.04374929073384,0.7781258581527548,0.3953131228510248,0.2061654303192285,0.5469659189758096,157.087185353358,39.39671279618333,218.6336356220961,0.6170052223034603,0.47692661564815875,,,,,,
double_frictionless,nb12_full-2nd_g0_uniform_raw_probability,24,2.84,0.1852236195078038,0.6037773912271553,123.21437489617011,33.7727987641066,170.94725041879755,0.6714953977281948,0.5360593847261158,0.10933023749800586,0.8664268931618098,51.379431595645585,23.117919038658314,68.88580261204255,0.8620240230525906,0.870829763271029,0.2536839508328419,0.3363122935494984,208.77791101469836,39.79352775805627,292.5626555182522,0.6092511011848314,0.06337348591416536,,,,,,
double_frictionless,nb20_1st_g0_uniform_raw_probability,40,3.86,0.20382898113218118,0.5228686963280296,136.91493716981347,36.32352632445409,190.18938318366955,0.6200002061200955,0.4257371865359636,0.12665647858556434,0.8210373033133612,59.89819053648346,26.5338955390004,80.44587526166369,0.8182359332459308,0.8238386733807916,0.20585078167230556,0.551952184978505,160.03014505549427,37.7252868377872,223.15039185708744,0.6488133644560229,0.4550910055009869,,,,,,
double_frictionless,nb20_full-2nd_g0_uniform_raw_probability,40,3.9,0.16982347810295068,0.6655513404205802,112.15112901076246,31.470961511652227,155.4520185083149,0.7147488674327975,0.6163538134083629,0.08239867566058533,0.9208435881664093,31.77449310905811,21.153944589933804,39.64527024704426,0.8844716087509011,0.9572155675819175,0.25419653461222935,0.32734789834538947,204.95732968331876,42.50006950844583,286.7206969746177,0.5542902238139648,0.10040557287681418,,,,,,
