dataset,selected_by,config,n_rules,fit_seconds,pooled_rmse,pooled_r2,pooled_rmse_deg,pooled_rmse_deg_theta1,pooled_rmse_deg_theta2,pooled_r2_theta1,pooled_r2_theta2,trained_rmse,trained_r2,trained_rmse_deg,trained_rmse_deg_theta1,trained_rmse_deg_theta2,trained_r2_theta1,trained_r2_theta2,holdout_rmse,holdout_r2,holdout_rmse_deg,holdout_rmse_deg_theta1,holdout_rmse_deg_theta2,holdout_r2_theta1,holdout_r2_theta2,source,pooled_rmse_deg_theta3,pooled_r2_theta3,trained_rmse_deg_theta3,trained_r2_theta3,holdout_rmse_deg_theta3,holdout_r2_theta3,pooled_rmse_deg_theta4,pooled_rmse_deg_theta5,pooled_r2_theta4,pooled_r2_theta5,trained_rmse_deg_theta4,trained_rmse_deg_theta5,trained_r2_theta4,trained_r2_theta5,holdout_rmse_deg_theta4,holdout_rmse_deg_theta5,holdout_r2_theta4,holdout_r2_theta5
double_frictionless,best_holdout,nb40_1st_g8_uniform_raw_probability,80,3.55,0.20241290796699007,0.5245546541214658,133.51364221468563,37.60755666654154,185.03366449496414,0.5926595011673965,0.4564498070755352,0.15844794400236137,0.7196456734579414,74.65873143426768,33.37510110659645,100.1696310508962,0.712424965251049,0.7268663816648337,0.18386611302549283,0.6199439112797342,118.77771464585736,43.749030646396704,162.17987948721057,0.5277089139981032,0.7121789085613652,sweep.csv,,,,,,,,,,,,,,,,,,
double_frictionless,best_trained,nb300_full-2nd_g0_uniform_raw_probability_l21e-09,600,79.01,0.07679816528180082,0.9248765637413854,40.8616397328593,18.902214463090377,54.60818154550926,0.8970958886842629,0.9526572387985077,0.01263766724484263,0.9981443125024401,4.968954033889073,3.2015273282151555,6.255496075332193,0.9973538136338518,0.9989348113710285,0.2300769224716731,0.4065796629959145,150.20322840249173,54.21315517123172,205.3848910008771,0.2747591692899787,0.5384001567018504,sweep.csv,,,,,,,,,,,,,,,,,,
double_friction,best_holdout,nb300_full-2nd_g0_uniform_raw_probability_l21e-09,600,73.76,0.015862609337746626,0.9963809267108779,3.7652163056467813,3.4407531732423267,4.063855959238671,0.9963475272318554,0.9964143261899004,0.005502781420624825,0.9995758372534789,1.257954000346209,1.2358865175508558,1.2796409846945664,0.9995258421769225,0.9996258323300353,0.012012875472385644,0.9978900850056835,3.1053691155352015,1.605961461235546,4.087483635742894,0.9991949724329234,0.9965851975784435,sweep.csv,,,,,,,,,,,,,,,,,,
double_friction,best_trained,nb300_full-2nd_g0_uniform_raw_probability_l21e-09,600,73.76,0.015862609337746626,0.9963809267108779,3.7652163056467813,3.4407531732423267,4.063855959238671,0.9963475272318554,0.9964143261899004,0.005502781420624825,0.9995758372534789,1.257954000346209,1.2358865175508558,1.2796409846945664,0.9995258421769225,0.9996258323300353,0.012012875472385644,0.9978900850056835,3.1053691155352015,1.605961461235546,4.087483635742894,0.9991949724329234,0.9965851975784435,sweep.csv,,,,,,,,,,,,,,,,,,
triple_frictionless,best_holdout,nb40_full-2nd_g0_uniform_raw_probability,120,9.12,0.13285650398423832,0.748840997023838,71.77462236823582,22.705621753685097,32.802533107971655,0.7753842812346435,0.7149203794200241,0.0961802551771137,0.8468769655967464,38.77870515742044,17.92795741794391,28.652491387342838,0.8446922350035964,0.7829203859173574,0.1619523463757172,0.6091397585474755,59.28965469655442,33.58920169820049,41.45530838625107,0.547900154179323,0.5096013691963952,sweep.csv,117.74225159554054,0.7562183304168465,58.04297546798468,0.9130182758692852,87.74401630873983,0.7699177522667082,,,,,,,,,,,,
triple_frictionless,best_trained,nb300_full-2nd_g0_uniform_raw_probability_l21e-09,900,104.72,0.06841435279090563,0.9244789562968753,29.211003105908635,14.308983619235258,19.694549030317624,0.9107946460737377,0.8972354112708858,0.01908317847146578,0.9937280696400664,7.293646900657702,4.209372253356053,5.255817313625884,0.9914381776191754,0.9926957642498695,0.17885357831414073,0.5378390995136376,70.13574028462058,36.27465833383905,42.31858216581759,0.47271956665457815,0.48896438727395797,sweep.csv,44.3534196385925,0.9654068115460024,10.688752262677237,0.9970502670511542,107.93680077736894,0.6518333446123766,,,,,,,,,,,,
triple_friction,best_holdout,nb300_full-2nd_g0_quantile_raw_probability,900,105.93,0.0055682281651613895,0.9993247675429027,1.101853522836178,0.9727569138218035,1.2069876892522835,0.9993234517039961,0.9991894243227347,0.007180783021468238,0.9988648665845717,1.4135577255579328,1.1742529810116666,1.7765917660099855,0.9990474679497925,0.9982127857450405,0.004769542313384004,0.9995030702089864,0.9504681561967703,0.8044320010306871,1.0501694934154941,0.9995313631238593,0.9994061944499351,sweep.csv,1.1131793485170351,0.9994614266019775,1.208009918826948,0.9993343460588822,0.9798991471827457,0.999571653053165,,,,,,,,,,,,
triple_friction,best_trained,nb300_full-2nd_g0_quantile_raw_probability,900,105.93,0.0055682281651613895,0.9993247675429027,1.101853522836178,0.9727569138218035,1.2069876892522835,0.9993234517039961,0.9991894243227347,0.007180783021468238,0.9988648665845717,1.4135577255579328,1.1742529810116666,1.7765917660099855,0.9990474679497925,0.9982127857450405,0.004769542313384004,0.9995030702089864,0.9504681561967703,0.8044320010306871,1.0501694934154941,0.9995313631238593,0.9994061944499351,sweep.csv,1.1131793485170351,0.9994614266019775,1.208009918826948,0.9993343460588822,0.9798991471827457,0.999571653053165,,,,,,,,,,,,
quintuple_frictionless,best_holdout,nb40_1st_g8_uniform_raw_probability,200,8.83,0.1581575235154683,0.5896151865739566,71.90925743895147,22.812503153481295,26.831879807341085,0.6563284438806879,0.4841215056872089,0.13207353490492002,0.6759929176367655,63.21963022765356,19.934852728295986,20.795229079654945,0.6775698748829708,0.6282025062074251,0.2113015302973024,0.20138470746018594,171.1920402539273,27.013544978910197,22.45751876117107,0.5778729837002337,0.4790972797356605,sweep_n5.csv,27.416690836617384,0.5848587112548893,23.349149827081224,0.6924532596521096,36.10455485581501,0.41791249253218976,56.87954145137304,143.6223843306978,0.49902267407739553,0.7237445979696013,37.55487996200813,131.14197084924317,0.6617802323851572,0.719958715056165,49.65947426862852,376.20459753211753,0.12058471978815544,-0.5885439384553097
quintuple_frictionless,best_trained,nb300_full-2nd_g0_uniform_raw_probability_l21e-09,1500,215.62,0.08605090941291589,0.8733428044720594,26.645354181790584,12.885806009960435,17.213910815999636,0.890346907706317,0.7876734412441899,0.02666084219687007,0.986572415127446,7.1768669115512385,3.94285393158247,4.787898326240717,0.9873866361052025,0.9802908053419663,0.23768233502302435,0.040688395028213795,215.91608477796152,21.345491521255607,21.765603294312395,0.7364322270210009,0.5107008044227626,sweep_n5.csv,15.925935340396748,0.8599201216375555,5.4888368375864935,0.98300466903124,31.115297193145356,0.5676731625344356,30.694586019935528,43.49389322486646,0.8541086785836036,0.9746648731886309,8.121495755437724,11.08968000832944,0.9841824843142056,0.9979974808446158,54.24621035390489,477.7641612521725,-0.04936984462117677,-1.5619943742159532
