Dataset (task),MoG train time,MoG accuracy / R2,ANFIS,GA-tuned FIS,tree / RF ref
Concrete (regression),0.43 ± 0.01 s,R2=0.783 ± 0.030,N/A,N/A,0.909 ± 0.019
"Concrete (regression, full 2nd order)",0.46 ± 0.02 s,R2=0.842 ± 0.040,N/A,N/A,0.909 ± 0.019
PhiUSIIL (classification),0.28 ± 0.03 s,acc=0.997 ± 0.001,N/A,N/A,1.000 ± 0.000
