buckets,order,scheme,R²,RMSE (MPa),tail RMSE (MPa),max err (MPa),min bucket n
3,1st,hybrid *(shipped)*,0.787 ± 0.026,7.54 ± 0.39,7.93 ± 1.04,28.6 ± 6.2,343
3,1st,quantile,0.789 ± 0.026,7.51 ± 0.39,8.08 ± 1.05,28.5 ± 6.2,343
3,1st,uniform,0.796 ± 0.018,7.38 ± 0.34,8.10 ± 1.14,29.2 ± 5.6,132
3,2nd,hybrid *(shipped)*,0.832 ± 0.027,6.68 ± 0.55,6.58 ± 0.88,29.1 ± 8.1,343
3,2nd,quantile,0.836 ± 0.025,6.61 ± 0.51,6.59 ± 0.84,28.4 ± 7.9,343
3,2nd,uniform,0.841 ± 0.021,6.50 ± 0.43,6.50 ± 0.82,28.5 ± 6.4,132
4,1st,hybrid *(shipped)*,0.797 ± 0.024,7.36 ± 0.34,8.18 ± 1.11,28.4 ± 6.5,257
4,1st,quantile,0.795 ± 0.024,7.40 ± 0.35,8.30 ± 1.14,28.3 ± 6.6,257
4,1st,uniform,0.799 ± 0.025,7.32 ± 0.40,7.90 ± 1.10,29.6 ± 5.5,75
4,2nd,hybrid *(shipped)*,0.848 ± 0.025,6.35 ± 0.44,6.73 ± 0.74,29.3 ± 5.5,257
4,2nd,quantile,0.850 ± 0.025,6.32 ± 0.44,6.70 ± 0.71,28.8 ± 5.7,257
4,2nd,uniform,0.845 ± 0.020,6.42 ± 0.48,6.29 ± 0.73,28.4 ± 8.5,75
6,1st,hybrid *(shipped)*,0.808 ± 0.022,7.15 ± 0.27,7.37 ± 0.93,31.3 ± 5.4,171
6,1st,quantile,0.806 ± 0.023,7.18 ± 0.29,7.44 ± 0.93,30.8 ± 5.5,171
6,1st,uniform,0.812 ± 0.027,7.07 ± 0.37,7.46 ± 1.11,29.3 ± 6.1,39
6,2nd,hybrid *(shipped)*,0.852 ± 0.019,6.28 ± 0.37,6.34 ± 1.05,32.9 ± 5.8,171
6,2nd,quantile,0.853 ± 0.020,6.26 ± 0.39,6.34 ± 1.02,32.5 ± 5.8,171
6,2nd,uniform,0.853 ± 0.018,6.26 ± 0.35,6.40 ± 0.75,28.2 ± 6.6,39
