Features kept,wasserstein (acc / fit s),bhattacharyya (acc / fit s),composite (acc / fit s)
1,0.9967 / 0.43,0.4267 / 0.15,0.4267 / 0.19
2,0.9967 / 0.23,0.4527 / 0.17,0.9967 / 0.25
3,0.9967 / 0.25,0.8447 / 0.25,0.9967 / 0.27
4,0.9967 / 0.27,0.9160 / 0.33,0.9966 / 0.34
5,0.9965 / 0.31,0.9467 / 0.36,0.9966 / 0.40
7,0.9998 / 0.33,0.9632 / 0.41,0.9967 / 0.47
10,0.9997 / 0.39,0.9701 / 0.53,0.9983 / 0.57
15,0.9957 / 0.56,0.9788 / 0.72,0.9999 / 0.68
20,0.9984 / 0.69,0.9796 / 0.79,0.9991 / 0.84
