N (points),classical VAT (s),pVAT (s),speedup
256,0.278 ± 0.015 s,0.018 ± 0.047 s,16x
512,1.916 ± 0.036 s,0.006 ± 0.000 s,312x
"1,024",14.261 ± 0.276 s,0.020 ± 0.001 s,704x
"2,048",infeasible (>cap),0.072 ± 0.001 s,N/A
"4,096",infeasible (>cap),0.228 ± 0.006 s,N/A
