arm,init,seed,cv_mse_0,cv_mse,improvement,beat_start,r2_0,r2,heuristic_r2,heuristic_cv,evals_to_heuristic,rmse_0,rmse,evals,seconds,init_seconds,construction_seconds,error
scipy-de,hot,9,0.005719,0.005270,0.078421,1,0.875211,0.877987,0.875211,0.005719,0,5.4878,5.4264,2000,24.45,0.0000,0.2826,
opt-ga,hot,0,0.006113,0.004714,0.228830,1,0.835445,0.829880,0.835445,0.006113,0,6.5834,6.6938,2000,25.41,0.0000,0.1618,
opt-ga,hot,1,0.005830,0.004682,0.196869,1,0.830070,0.833962,0.830070,0.005830,0,6.6558,6.5792,2000,24.99,0.0000,0.2396,
opt-ga,hot,2,0.005970,0.004563,0.235683,1,0.798067,0.864791,0.798067,0.005970,0,7.0483,5.7675,2000,25.09,0.0000,0.2805,
opt-ga,hot,3,0.006025,0.004547,0.245319,1,0.874722,0.898826,0.874722,0.006025,0,6.0558,5.4421,2000,26.87,0.0000,0.2438,
opt-ga,hot,4,0.006128,0.004254,0.305871,1,0.824534,0.873438,0.824534,0.006128,0,7.2863,6.1882,2000,25.30,0.0000,0.2534,
opt-ga,hot,5,0.006111,0.004502,0.263254,1,0.853000,0.858058,0.853000,0.006111,0,5.8717,5.7698,2000,25.02,0.0000,0.2647,
opt-ga,hot,6,0.005818,0.004528,0.221724,1,0.874481,0.902235,0.874481,0.005818,0,6.3701,5.6219,2000,27.81,0.0000,0.2589,
opt-ga,hot,7,0.006026,0.004626,0.232265,1,0.830188,0.863786,0.830188,0.006026,0,6.7095,6.0092,2000,27.03,0.0000,0.6336,
opt-ga,hot,8,0.006408,0.004277,0.332591,1,0.867871,0.856742,0.867871,0.006408,0,5.8663,6.1084,2000,25.84,0.0000,0.2432,
opt-ga,hot,9,0.005719,0.004696,0.178902,1,0.875211,0.884100,0.875211,0.005719,0,5.4878,5.2887,2000,25.96,0.0000,0.2826,
opt-pso,hot,0,0.006113,0.005278,0.136591,1,0.835445,0.858608,0.835445,0.006113,0,6.5834,6.1025,2000,25.63,0.0000,0.1618,
opt-pso,hot,1,0.005830,0.005033,0.136788,1,0.830070,0.847332,0.830070,0.005830,0,6.6558,6.3087,2000,25.70,0.0000,0.2396,
opt-pso,hot,2,0.005970,0.005367,0.101120,1,0.798067,0.845135,0.798067,0.005970,0,7.0483,6.1725,2000,24.85,0.0000,0.2805,
opt-pso,hot,3,0.006025,0.005160,0.143602,1,0.874722,0.880505,0.874722,0.006025,0,6.0558,5.9144,2000,26.25,0.0000,0.2438,
opt-pso,hot,4,0.006128,0.005311,0.133366,1,0.824534,0.855412,0.824534,0.006128,0,7.2863,6.6142,2000,26.24,0.0000,0.2534,
opt-pso,hot,5,0.006111,0.005245,0.141696,1,0.853000,0.812373,0.853000,0.006111,0,5.8717,6.6337,2000,25.62,0.0000,0.2647,
opt-pso,hot,6,0.005818,0.005451,0.063088,1,0.874481,0.878656,0.874481,0.005818,0,6.3701,6.2632,2000,24.95,0.0000,0.2589,
opt-pso,hot,7,0.006026,0.005281,0.123565,1,0.830188,0.875623,0.830188,0.006026,0,6.7095,5.7422,2000,25.05,0.0000,0.6336,
opt-pso,hot,8,0.006408,0.005642,0.119487,1,0.867871,0.885236,0.867871,0.006408,0,5.8663,5.4673,2000,25.31,0.0000,0.2432,
opt-pso,hot,9,0.005719,0.005408,0.054366,1,0.875211,0.880096,0.875211,0.005719,0,5.4878,5.3793,2000,25.24,0.0000,0.2826,
