arm,init,seed,budget,cv_mse,r2,r2_0,heuristic_r2,seconds
scipy-lbfgsb,hot,7,125,0.006025,0.830196,0.830188,0.830188,1.56
scipy-lbfgsb,hot,7,250,0.005405,0.828801,0.830188,0.830188,3.05
scipy-lbfgsb,hot,7,500,0.005356,0.831999,0.830188,0.830188,6.18
scipy-lbfgsb,hot,7,1000,0.004979,0.874230,0.830188,0.830188,12.45
scipy-lbfgsb,hot,7,2000,0.004922,0.875446,0.830188,0.830188,25.35
scipy-lbfgsb,hot,8,125,0.006407,0.867891,0.867871,0.867871,1.57
scipy-lbfgsb,hot,8,250,0.005716,0.879145,0.867871,0.867871,3.33
scipy-lbfgsb,hot,8,500,0.004474,0.897217,0.867871,0.867871,6.48
scipy-lbfgsb,hot,8,1000,0.003812,0.886253,0.867871,0.867871,12.93
scipy-lbfgsb,hot,8,2000,0.003523,0.887938,0.867871,0.867871,26.40
scipy-lbfgsb,hot,9,125,0.005718,0.875235,0.875211,0.875211,1.67
scipy-lbfgsb,hot,9,250,0.005345,0.878692,0.875211,0.875211,3.32
scipy-lbfgsb,hot,9,500,0.004618,0.890705,0.875211,0.875211,6.73
scipy-lbfgsb,hot,9,1000,0.003831,0.899188,0.875211,0.875211,13.43
scipy-lbfgsb,hot,9,2000,0.003405,0.904926,0.875211,0.875211,26.32
scipy-powell,hot,0,125,0.005792,0.828443,0.835445,0.835445,1.65
scipy-powell,hot,0,250,0.005687,0.833952,0.835445,0.835445,3.29
scipy-powell,hot,0,500,0.005670,0.835781,0.835445,0.835445,6.42
scipy-powell,hot,0,1000,0.005383,0.848326,0.835445,0.835445,12.44
scipy-powell,hot,0,2000,0.005383,0.848326,0.835445,0.835445,25.16
scipy-powell,hot,1,125,0.005729,0.815969,0.830070,0.830070,1.52
scipy-powell,hot,1,250,0.005729,0.815969,0.830070,0.830070,3.06
scipy-powell,hot,1,500,0.005659,0.835120,0.830070,0.830070,6.16
scipy-powell,hot,1,1000,0.005033,0.845052,0.830070,0.830070,12.39
scipy-powell,hot,1,2000,0.004335,0.828088,0.830070,0.830070,25.64
scipy-powell,hot,2,125,0.005837,0.805953,0.798067,0.798067,1.81
scipy-powell,hot,2,250,0.005644,0.812708,0.798067,0.798067,3.38
scipy-powell,hot,2,500,0.005359,0.805679,0.798067,0.798067,6.66
scipy-powell,hot,2,1000,0.004867,0.833628,0.798067,0.798067,13.70
scipy-powell,hot,2,2000,0.004670,0.850991,0.798067,0.798067,26.11
scipy-powell,hot,3,125,0.005673,0.870548,0.874722,0.874722,1.56
scipy-powell,hot,3,250,0.005555,0.868448,0.874722,0.874722,3.17
scipy-powell,hot,3,500,0.005271,0.885101,0.874722,0.874722,6.35
scipy-powell,hot,3,1000,0.005074,0.887106,0.874722,0.874722,12.64
scipy-powell,hot,3,2000,0.004489,0.897907,0.874722,0.874722,25.05
scipy-powell,hot,4,125,0.005923,0.826266,0.824534,0.824534,1.66
scipy-powell,hot,4,250,0.005923,0.826266,0.824534,0.824534,3.30
scipy-powell,hot,4,500,0.005854,0.832275,0.824534,0.824534,6.50
scipy-powell,hot,4,1000,0.005526,0.835840,0.824534,0.824534,12.53
