Dataset (task),MoG train time,MoG accuracy / R2,ANFIS,GA-tuned FIS,tree / RF ref
Concrete (regression),0.84 ± 0.01 s,R2=0.780 ± 0.029,N/A,N/A,0.909 ± 0.019
"Concrete (regression, full 2nd order)",0.85 ± 0.02 s,R2=0.840 ± 0.049,N/A,N/A,0.909 ± 0.019
PhiUSIIL (classification),0.65 ± 0.02 s,acc=0.997 ± 0.001,N/A,N/A,1.000 ± 0.000
