θ,detection rate,false-alarm rate,detection − false alarm
0.500,0.731,0.488,+0.243
0.600,0.685,0.428,+0.257
0.700,0.612,0.352,+0.261
0.800,0.539,0.298,+0.242
0.900,0.457,0.258,+0.199
0.990,0.360,0.190,+0.170
1.100,0.000,0.000,+0.000
