family,n,seed,flat_k,flat_ari_per_level,flat_pou_max,flat_pou_mean,ms_granularities,ms_ari_per_level,ms_pou_max,ms_pou_mean
many_scale,2000,9,2,"[0.249342846413819, 0.4996245306633292, 1.0]",0.0,0.0,"[8, 4, 2]","[1.0, 1.0, 1.0]",0.0,0.0
many_scale,5000,0,2,"[0.24973735554555004, 0.49984992496248126, 1.0]",0.0,0.0,"[8, 4, 2]","[1.0, 1.0, 1.0]",1.1102230246251565e-16,3.700743415417188e-17
many_scale,5000,1,2,"[0.24973735554555004, 0.49984992496248126, 1.0]",0.0,0.0,"[8, 4, 2]","[1.0, 1.0, 1.0]",1.1102230246251565e-16,9.25185853854297e-18
many_scale,5000,2,2,"[0.24973735554555004, 0.49984992496248126, 1.0]",0.0,0.0,"[8, 4, 2]","[1.0, 1.0, 1.0]",1.1102230246251565e-16,4.625929269271486e-17
many_scale,5000,3,2,"[0.24973735554555004, 0.49984992496248126, 1.0]",0.0,0.0,"[8, 4, 2]","[1.0, 1.0, 1.0]",1.1102230246251565e-16,3.700743415417188e-17
many_scale,5000,4,2,"[0.24973735554555004, 0.49984992496248126, 1.0]",0.0,0.0,"[8, 4, 2]","[1.0, 1.0, 1.0]",0.0,0.0
many_scale,5000,5,2,"[0.24973735554555004, 0.49984992496248126, 1.0]",0.0,0.0,"[8, 4, 2]","[1.0, 1.0, 1.0]",1.1102230246251565e-16,9.25185853854297e-18
many_scale,5000,6,2,"[0.24973735554555004, 0.49984992496248126, 1.0]",0.0,0.0,"[8, 4, 2]","[1.0, 1.0, 1.0]",0.0,0.0
many_scale,5000,7,2,"[0.24973735554555004, 0.49984992496248126, 1.0]",0.0,0.0,"[8, 4, 2]","[1.0, 1.0, 1.0]",1.1102230246251565e-16,1.850371707708594e-17
many_scale,5000,8,2,"[0.24973735554555004, 0.49984992496248126, 1.0]",0.0,0.0,"[8, 4, 2]","[1.0, 1.0, 1.0]",1.1102230246251565e-16,2.7755575615628914e-17
many_scale,5000,9,2,"[0.24973735554555004, 0.49984992496248126, 1.0]",0.0,0.0,"[8, 4, 2]","[1.0, 1.0, 1.0]",1.1102230246251565e-16,5.551115123125783e-17
log_separated,100,0,3,[1.0],1.1102230246251565e-16,3.663735981263017e-17,[3],[1.0],1.1102230246251565e-16,3.663735981263017e-17
log_separated,100,1,2,[0.5371164066518087],0.0,0.0,[2],[0.5371164066518087],0.0,0.0
log_separated,100,2,2,[0.5737902531427588],0.0,0.0,[2],[0.5737902531427588],0.0,0.0
log_separated,100,3,3,[0.9701548275714295],2.220446049250313e-16,3.219646771412954e-17,[3],[0.9701548275714295],2.220446049250313e-16,3.219646771412954e-17
log_separated,100,4,3,[0.9403191547968097],0.0,0.0,[3],[0.9403191547968097],0.0,0.0
log_separated,100,5,3,[0.969690846635684],0.0,0.0,[3],[0.969690846635684],0.0,0.0
