N (points),classical VAT (s),pVAT (s),speedup
256,0.264 ± 0.012 s,0.012 ± 0.031 s,21x
512,1.824 ± 0.048 s,0.007 ± 0.001 s,275x
"1,024",13.387 ± 0.234 s,0.022 ± 0.003 s,604x
"2,048",infeasible (>cap),0.076 ± 0.007 s,N/A
"4,096",infeasible (>cap),0.229 ± 0.007 s,N/A
