Dataset,Model,Metric,min/max,probability,luk,hamacher,einstein,Best (mean spread)
Concrete,flat MoG-TSK,R2,0.677 ± 0.037,0.675 ± 0.039,-3.404 ± 0.419,0.682 ± 0.038,0.672 ± 0.039,**hamacher** (spread 4.086)
Concrete,flat MoG-TSK,RMSE (MPa),9.291 ± 0.727,9.323 ± 0.752,34.264 ± 0.716,9.225 ± 0.695,9.372 ± 0.759,**hamacher** (spread 25.039)
Concrete,fuzzy tree (t-norm only),R2,0.708 ± 0.030,0.712 ± 0.030,0.713 ± 0.033,0.712 ± 0.030,0.713 ± 0.031,**luk** (spread 0.005)
Concrete,fuzzy tree (t-norm only),RMSE (MPa),8.829 ± 0.469,8.764 ± 0.521,8.755 ± 0.572,8.770 ± 0.492,8.760 ± 0.539,**luk** (spread 0.074)
Concrete,HME (experts only),R2,0.782 ± 0.034,0.773 ± 0.045,-46.477 ± 129.343,0.784 ± 0.038,0.761 ± 0.049,**hamacher** (spread 47.260)
Concrete,HME (experts only),RMSE (MPa),7.620 ± 0.612,7.759 ± 0.704,66.286 ± 96.928,7.583 ± 0.674,7.951 ± 0.779,**hamacher** (spread 58.704)
PhiUSIIL,flat MoG,accuracy,0.997 ± 0.001,0.997 ± 0.001,0.997 ± 0.001,0.997 ± 0.001,0.997 ± 0.001,**luk** (spread 0.000)
PhiUSIIL,fuzzy tree (t-norm only),accuracy,0.967 ± 0.003,0.967 ± 0.003,0.967 ± 0.003,0.967 ± 0.003,0.967 ± 0.003,**min/max** (spread 0.000)
PhiUSIIL,HME (experts only),accuracy,0.998 ± 0.001,0.998 ± 0.001,0.964 ± 0.004,0.998 ± 0.001,0.998 ± 0.001,**einstein** (spread 0.034)
