Features kept,wasserstein (acc / fit s),bhattacharyya (acc / fit s),composite (acc / fit s)
1,0.9967 / 0.15,0.9967 / 0.11,0.9967 / 0.16
2,0.9967 / 0.15,0.9999 / 0.12,0.9999 / 0.16
3,0.9967 / 0.16,0.9999 / 0.12,0.9999 / 0.17
4,0.9967 / 0.16,0.9999 / 0.13,0.9999 / 0.17
5,0.9966 / 0.17,0.9999 / 0.13,0.9999 / 0.18
7,0.9998 / 0.17,0.9999 / 0.14,0.9998 / 0.20
10,0.9995 / 0.20,0.9999 / 0.18,0.9998 / 0.24
15,0.9929 / 0.27,0.9999 / 0.25,0.9999 / 0.30
20,0.9980 / 0.34,0.9995 / 0.32,0.9997 / 0.34
