N,classical O(N³),stage 1 O(N²logN),stage 2 O(N²),cls/s2,s1/s2,orders identical
500,0.0208 ± 0.0004 s,0.0033 ± 0.0001 s,0.0005 ± 0.0000 s,45.5×,7.2×,yes
"1,000",0.1726 ± 0.0016 s,0.0115 ± 0.0014 s,0.0127 ± 0.0035 s,13.6×,0.9×,yes
"2,000",not run (> cap),0.0368 ± 0.0005 s,0.0075 ± 0.0015 s,N/A,4.9×,yes
"4,000",not run (> cap),0.1575 ± 0.0024 s,0.0211 ± 0.0004 s,N/A,7.5×,yes
