Dataset (task),MoG train time,MoG accuracy / R2,ANFIS,GA-tuned FIS,tree / RF ref
Concrete (regression),0.37 ± 0.01 s,R2=0.651 ± 0.052,N/A,N/A,0.909 ± 0.018
PhiUSIIL (classification),0.54 ± 0.04 s,acc=0.997 ± 0.001,N/A,N/A,1.000 ± 0.000
