N (points),classical VAT,pVAT,speedup
256,0.368 ± 0.018 s,0.010 ± 0.023 s,39x
512,2.934 ± 0.053 s,0.006 ± 0.000 s,516x
"1,024",26.349 ± 0.559 s,0.019 ± 0.001 s,1362x
"2,048",infeasible (>cap),0.069 ± 0.001 s,N/A
"4,096",infeasible (>cap),0.258 ± 0.005 s,N/A
