Dataset,Model,Metric,min/max,probability,luk,hamacher,einstein,Best (mean spread)
Concrete,flat MoG-TSK,R2,0.651 ± 0.052,0.650 ± 0.056,-3.761 ± 0.463,0.648 ± 0.047,0.624 ± 0.070,**min/max** (spread 4.412)
Concrete,flat MoG-TSK,RMSE (MPa),9.621 ± 0.594,9.633 ± 0.536,35.642 ± 1.285,9.677 ± 0.488,9.970 ± 0.616,**min/max** (spread 26.021)
Concrete,fuzzy tree (t-norm only),R2,0.710 ± 0.044,0.711 ± 0.043,0.712 ± 0.043,0.710 ± 0.043,0.711 ± 0.042,**luk** (spread 0.002)
Concrete,fuzzy tree (t-norm only),RMSE (MPa),8.791 ± 0.657,8.771 ± 0.632,8.752 ± 0.619,8.786 ± 0.647,8.766 ± 0.627,**luk** (spread 0.039)
Concrete,HME (experts only),R2,0.760 ± 0.041,0.779 ± 0.039,-3.683 ± 0.443,0.769 ± 0.042,0.762 ± 0.049,**probability** (spread 4.463)
Concrete,HME (experts only),RMSE (MPa),7.996 ± 0.781,7.663 ± 0.711,35.371 ± 1.676,7.848 ± 0.789,7.940 ± 0.834,**probability** (spread 27.707)
PhiUSIIL,flat MoG,accuracy,0.997 ± 0.001,0.997 ± 0.001,0.993 ± 0.009,0.997 ± 0.001,0.997 ± 0.001,**min/max** (spread 0.003)
PhiUSIIL,fuzzy tree (t-norm only),accuracy,0.970 ± 0.008,0.970 ± 0.008,0.970 ± 0.008,0.970 ± 0.008,0.970 ± 0.008,**min/max** (spread 0.000)
PhiUSIIL,HME (experts only),accuracy,0.996 ± 0.002,0.998 ± 0.001,0.930 ± 0.020,0.996 ± 0.002,0.999 ± 0.001,**einstein** (spread 0.069)
