Dataset (task),MoG train time,MoG accuracy / R2,ANFIS,GA-tuned FIS,tree / RF ref
Concrete (regression),0.61 ± 0.03 s,R2=0.650 ± 0.056,N/A,N/A,0.909 ± 0.018
PhiUSIIL (classification),0.92 ± 0.03 s,acc=0.997 ± 0.001,N/A,N/A,1.000 ± 0.000
