N,classical O(N³),stage 1 O(N²logN),stage 2 O(N²),cls/s2,s1/s2,orders identical
500,0.0330 ± 0.0004 s,0.0060 ± 0.0002 s,0.0007 ± 0.0000 s,49.9×,9.1×,yes
"1,000",0.2597 ± 0.0040 s,0.0160 ± 0.0006 s,0.0119 ± 0.0025 s,21.7×,1.3×,yes
"2,000",not run (> cap),0.0555 ± 0.0008 s,0.0099 ± 0.0013 s,N/A,5.6×,yes
"4,000",not run (> cap),0.2436 ± 0.0035 s,0.0322 ± 0.0009 s,N/A,7.6×,yes
