Dataset,metric,flat,fuzzy tree,mixture (HME),CART,Random Forest,M5
Concrete,R2,0.650 ± 0.056,0.580 ± 0.067,0.682 ± 0.064,0.825 ± 0.047,0.909 ± 0.018,N/A
Concrete,RMSE (MPa),9.633 ± 0.536,10.575 ± 0.863,9.167 ± 0.792,6.744 ± 0.739,4.904 ± 0.307,N/A
PhiUSIIL,accuracy,0.997 ± 0.001,0.970 ± 0.003,0.999 ± 0.001,1.000 ± 0.000,1.000 ± 0.000,N/A
