Features kept,wasserstein (acc / fit s),bhattacharyya (acc / fit s),composite (acc / fit s)
1,0.9967 / 0.17,0.4267 / 0.14,0.4267 / 0.17
2,0.9967 / 0.21,0.4527 / 0.19,0.9967 / 0.23
3,0.9967 / 0.26,0.8455 / 0.27,0.9967 / 0.26
4,0.9967 / 0.30,0.9160 / 0.38,0.9966 / 0.38
5,0.9966 / 0.35,0.9456 / 0.49,0.9966 / 0.48
7,0.9998 / 0.44,0.9610 / 0.69,0.9967 / 0.64
10,0.9995 / 0.63,0.9676 / 0.95,0.9980 / 0.91
15,0.9974 / 1.01,0.9765 / 1.53,0.9999 / 1.34
20,0.9990 / 1.35,0.9777 / 1.85,0.9995 / 1.87
