Model,Hyperparameters,raw features,log + min-max,log + z-score,Δ min-max − raw,Δ z-score − raw,Δ z-score − min-max,RMSE raw (MPa),RMSE log+min-max (MPa),RMSE log+z-score (MPa)
CART (reference),sklearn default,0.825 ± 0.047,0.826 ± 0.047,0.826 ± 0.046,+0.001,+0.001,-0.000,6.744 ± 0.739,6.726 ± 0.740,6.733 ± 0.733
Random Forest (reference),sklearn default,0.909 ± 0.018,0.909 ± 0.019,0.909 ± 0.018,+0.000,+0.000,-0.000,4.904 ± 0.307,4.899 ± 0.313,4.903 ± 0.312
flat MoG-TSK 1st,pipeline default,0.691 ± 0.040,0.803 ± 0.025,0.723 ± 0.042,+0.112,+0.031,-0.080,9.064 ± 0.436,7.240 ± 0.323,8.577 ± 0.335
flat MoG-TSK 2nd,pipeline default,0.806 ± 0.032,0.851 ± 0.021,0.837 ± 0.029,+0.045,+0.030,-0.015,7.168 ± 0.432,6.282 ± 0.269,6.570 ± 0.347
flat MoG-TSK full-2nd,pipeline default,0.814 ± 0.032,0.878 ± 0.021,0.858 ± 0.030,+0.064,+0.044,-0.020,7.036 ± 0.576,5.678 ± 0.329,6.116 ± 0.523
fuzzy tree,demo-tuned,0.712 ± 0.030,0.740 ± 0.051,0.740 ± 0.051,+0.028,+0.028,-0.000,8.764 ± 0.521,8.294 ± 0.626,8.294 ± 0.626
fuzzy tree,library default,0.583 ± 0.067,0.689 ± 0.056,0.691 ± 0.055,+0.106,+0.108,+0.002,10.531 ± 0.889,9.066 ± 0.575,9.039 ± 0.572
mixture of experts,demo-tuned,0.787 ± 0.024,0.847 ± 0.023,0.847 ± 0.023,+0.061,+0.061,+0.000,7.547 ± 0.419,6.379 ± 0.471,6.379 ± 0.471
mixture of experts,library default,-9.493 ± 30.632,0.789 ± 0.059,0.789 ± 0.059,+10.282,+10.281,-0.000,23.672 ± 45.019,7.443 ± 0.831,7.448 ± 0.833
