N (points),classical VAT (s),pVAT (s),speedup
256,0.262 ± 0.015 s,0.013 ± 0.031 s,21x
512,1.796 ± 0.042 s,0.006 ± 0.001 s,291x
"1,024",13.459 ± 0.286 s,0.021 ± 0.002 s,632x
"2,048",infeasible (>cap),0.076 ± 0.008 s,N/A
"4,096",infeasible (>cap),0.234 ± 0.009 s,N/A
