θ,detection rate,false-alarm rate,detection − false alarm
0.500,0.959,0.672,+0.287
0.600,0.945,0.609,+0.336
0.700,0.935,0.569,+0.366
0.800,0.908,0.515,+0.393
0.900,0.836,0.465,+0.370
0.990,0.777,0.431,+0.346
1.100,0.000,0.000,+0.000
