Model,Hyperparameters,raw features,log + standardized,Δ from normalizing
CART (reference),sklearn default,0.816 ± 0.037,0.816 ± 0.037,-0.000
Random Forest (reference),sklearn default,0.913 ± 0.014,0.913 ± 0.014,+0.000
flat MoG-TSK 1st,pipeline default,0.664 ± 0.032,0.776 ± 0.035,+0.112
flat MoG-TSK 2nd,pipeline default,0.784 ± 0.011,0.817 ± 0.026,+0.033
flat MoG-TSK full-2nd,pipeline default,0.796 ± 0.035,0.866 ± 0.009,+0.070
fuzzy tree,demo-tuned,0.720 ± 0.041,0.745 ± 0.046,+0.025
fuzzy tree,library default,0.559 ± 0.079,0.714 ± 0.046,+0.155
mixture of experts,demo-tuned,0.754 ± 0.041,0.826 ± 0.026,+0.071
mixture of experts,library default,0.705 ± 0.043,0.813 ± 0.039,+0.109
