N,classical O(N³),stage 1 O(N²logN),stage 2 O(N²),cls/s2,s1/s2,orders identical
500,0.0270 ± 0.0005 s,0.0047 ± 0.0003 s,0.0006 ± 0.0000 s,42.5×,7.4×,yes
"1,000",0.2704 ± 0.0071 s,0.0157 ± 0.0010 s,0.0084 ± 0.0003 s,32.3×,1.9×,yes
"2,000",not run (> cap),0.0570 ± 0.0018 s,0.0071 ± 0.0025 s,N/A,8.1×,yes
"4,000",not run (> cap),0.2744 ± 0.0078 s,0.0265 ± 0.0019 s,N/A,10.3×,yes
