N (points),classical VAT,pVAT,speedup
256,0.390 ± 0.034 s,1.271 ± 2.536 s,0x
512,3.046 ± 0.163 s,0.011 ± 0.003 s,274x
"1,024",22.988 ± 0.405 s,0.033 ± 0.005 s,703x
"2,048",infeasible (>cap),0.139 ± 0.007 s,N/A
"4,096",infeasible (>cap),0.515 ± 0.094 s,N/A
