init,arm,started from,objective,test accuracy,test errors,Δ accuracy vs construction (paired),acc wins,seconds to match the construction,seconds spent
hot,none,Gaussian construction,0.01152 ± 0.00202,0.9996 ± 0.0003,18 ± 15,+0.0000,0/10,0.0,0.3 ± 0.0
hot,scipy-lbfgsb,Gaussian construction,0.00080 ± 0.00040,0.9998 ± 0.0000,8 ± 2,+0.0002 ± +0.0003,7/10,0.0,63.5 ± 1.4
hot,scipy-powell,Gaussian construction,0.00076 ± 0.00034,0.9999 ± 0.0000,7 ± 2,+0.0002 ± +0.0003,9/10,0.0,61.8 ± 1.3
hot,scipy-de,Gaussian construction,0.01152 ± 0.00202,0.9996 ± 0.0003,18 ± 15,+0.0000,0/10,0.0,26.6 ± 17.2
hot,opt-ga,Gaussian construction,0.00324 ± 0.00495,0.9998 ± 0.0000,9 ± 2,+0.0002 ± +0.0003,6/10,0.0,51.9 ± 7.2
hot,opt-pso,Gaussian construction,0.01152 ± 0.00202,0.9996 ± 0.0003,18 ± 15,+0.0000,0/10,0.0,37.8 ± 0.6
hot,opt-aco,Gaussian construction,0.00897 ± 0.00328,0.9994 ± 0.0003,28 ± 16,-0.0002 ± +0.0002,1/10,0.0,37.6 ± 0.9
hot,opt-gd,Gaussian construction,0.00090 ± 0.00058,0.9998 ± 0.0000,8 ± 2,+0.0002 ± +0.0003,7/10,0.0,63.5 ± 1.1
