Features kept,wasserstein (acc / fit s),bhattacharyya (acc / fit s),composite (acc / fit s)
1,0.9967 / 0.23,0.9967 / 0.20,0.9967 / 0.24
2,0.9967 / 0.18,0.9999 / 0.17,0.9999 / 0.22
3,0.9967 / 0.19,0.9999 / 0.17,0.9999 / 0.22
4,0.9967 / 0.21,0.9999 / 0.18,0.9999 / 0.22
5,0.9965 / 0.23,0.9999 / 0.19,0.9999 / 0.24
7,0.9998 / 0.24,0.9999 / 0.20,0.9999 / 0.30
10,0.9997 / 0.29,0.9999 / 0.27,0.9999 / 0.38
15,0.9957 / 0.42,0.9999 / 0.42,0.9999 / 0.49
20,0.9984 / 0.57,0.9998 / 0.56,0.9999 / 0.59
