θ,detection rate,false-alarm rate,detection − false alarm
0.500,0.754,0.532,+0.222
0.600,0.708,0.469,+0.239
0.700,0.631,0.395,+0.236
0.800,0.559,0.332,+0.227
0.900,0.473,0.277,+0.196
0.990,0.380,0.211,+0.169
1.100,0.000,0.000,+0.000
