Dataset,Model,Metric,min/max,probability,luk,hamacher,einstein,Best (mean spread)
Concrete,flat MoG-TSK,R2,0.651 ± 0.052,0.650 ± 0.056,-3.761 ± 0.463,0.648 ± 0.047,0.624 ± 0.070,**min/max** (spread 4.412)
Concrete,flat MoG-TSK,RMSE (MPa),9.621 ± 0.594,9.633 ± 0.536,35.642 ± 1.285,9.677 ± 0.488,9.970 ± 0.616,**min/max** (spread 26.021)
Concrete,fuzzy tree (t-norm only),R2,0.709 ± 0.029,0.714 ± 0.029,0.714 ± 0.032,0.713 ± 0.029,0.713 ± 0.031,**luk** (spread 0.005)
Concrete,fuzzy tree (t-norm only),RMSE (MPa),8.818 ± 0.464,8.749 ± 0.513,8.740 ± 0.565,8.751 ± 0.482,8.748 ± 0.533,**luk** (spread 0.078)
Concrete,HME (experts only),R2,0.778 ± 0.029,0.768 ± 0.029,-3.626 ± 0.397,0.784 ± 0.030,0.746 ± 0.049,**hamacher** (spread 4.410)
Concrete,HME (experts only),RMSE (MPa),7.696 ± 0.615,7.863 ± 0.459,35.160 ± 1.653,7.585 ± 0.607,8.206 ± 0.596,**hamacher** (spread 27.575)
PhiUSIIL,flat MoG,accuracy,0.996 ± 0.001,0.997 ± 0.001,0.997 ± 0.001,0.997 ± 0.001,0.997 ± 0.001,**luk** (spread 0.000)
PhiUSIIL,fuzzy tree (t-norm only),accuracy,0.967 ± 0.003,0.967 ± 0.003,0.967 ± 0.003,0.967 ± 0.003,0.967 ± 0.003,**min/max** (spread 0.000)
PhiUSIIL,HME (experts only),accuracy,0.998 ± 0.002,0.998 ± 0.001,0.979 ± 0.001,0.998 ± 0.001,0.998 ± 0.001,**einstein** (spread 0.019)
