N (points),classical VAT,pVAT,speedup
256,0.270 ± 0.007 s,0.010 ± 0.025 s,26x
512,2.256 ± 0.044 s,0.006 ± 0.000 s,387x
"1,024",22.196 ± 0.294 s,0.019 ± 0.001 s,1146x
"2,048",infeasible (>cap),0.070 ± 0.001 s,N/A
"4,096",infeasible (>cap),0.265 ± 0.004 s,N/A
