Dataset (task),MoG train time,MoG accuracy / R2,ANFIS,GA-tuned FIS,tree / RF ref
Concrete (regression),0.38 ± 0.01 s,R2=0.651 ± 0.052,N/A,N/A,0.909 ± 0.018
PhiUSIIL (classification),0.67 ± 0.03 s,acc=0.996 ± 0.001,N/A,N/A,1.000 ± 0.000
