route,seed,n_rows,components,n_features,n_mfs,accuracy,identify_s,screen_s
construction,0,4000,3,10,48,1.000000,0.402349,0.080605
classical-kmeans,0,4000,3,10,60,0.993000,0.015271,0.080605
classical-fcm,0,4000,3,10,60,0.995000,0.081502,0.080605
classical-kmeans-20k,0,4000,3,10,60,0.993000,0.015502,0.080605
classical-fcm-20k,0,4000,3,10,60,0.996000,0.055656,0.080605
construction,1,4000,3,10,49,1.000000,0.396833,0.076546
classical-kmeans,1,4000,3,10,60,0.994000,0.016236,0.076546
classical-fcm,1,4000,3,10,60,0.997000,0.045735,0.076546
classical-kmeans-20k,1,4000,3,10,60,0.994000,0.016741,0.076546
classical-fcm-20k,1,4000,3,10,60,0.996000,0.052137,0.076546
construction,2,4000,3,10,48,0.999000,0.420486,0.085670
classical-kmeans,2,4000,3,10,60,0.995000,0.017054,0.085670
classical-fcm,2,4000,3,10,60,0.995000,0.049923,0.085670
classical-kmeans-20k,2,4000,3,10,60,0.995000,0.015927,0.085670
classical-fcm-20k,2,4000,3,10,60,0.994000,0.079278,0.085670
construction,0,16000,3,10,52,0.999000,0.972176,0.215305
classical-kmeans,0,16000,3,10,60,0.992750,0.056466,0.215305
classical-fcm,0,16000,3,10,60,0.991500,0.200446,0.215305
classical-kmeans-20k,0,16000,3,10,60,0.992750,0.045748,0.215305
classical-fcm-20k,0,16000,3,10,60,0.993000,0.158626,0.215305
construction,1,16000,3,10,48,0.998000,0.858635,0.206573
classical-kmeans,1,16000,3,10,60,0.995000,0.045005,0.206573
classical-fcm,1,16000,3,10,60,0.996000,0.150464,0.206573
classical-kmeans-20k,1,16000,3,10,60,0.995000,0.043585,0.206573
classical-fcm-20k,1,16000,3,10,60,0.996250,0.223821,0.206573
construction,2,16000,3,10,48,0.999500,0.885124,0.209474
classical-kmeans,2,16000,3,10,60,0.997250,0.044226,0.209474
classical-fcm,2,16000,3,10,60,0.997250,0.142161,0.209474
classical-kmeans-20k,2,16000,3,10,60,0.997250,0.040797,0.209474
classical-fcm-20k,2,16000,3,10,60,0.998500,0.150045,0.209474
construction,0,40000,3,10,48,0.999800,1.683778,0.484864
classical-kmeans,0,40000,3,10,60,0.992700,0.105369,0.484864
classical-fcm,0,40000,3,10,60,0.995700,0.416364,0.484864
classical-kmeans-20k,0,40000,3,10,60,0.995900,0.089031,0.484864
classical-fcm-20k,0,40000,3,10,60,0.995900,0.365801,0.484864
construction,1,40000,3,10,52,0.999900,1.801016,0.497971
classical-kmeans,1,40000,3,10,60,0.994400,0.117679,0.497971
classical-fcm,1,40000,3,10,60,0.992800,0.516053,0.497971
classical-kmeans-20k,1,40000,3,10,60,0.994400,0.100343,0.497971
classical-fcm-20k,1,40000,3,10,60,0.992800,0.531449,0.497971
construction,2,40000,3,10,52,0.999700,1.841888,0.481740
classical-kmeans,2,40000,3,10,60,0.994000,0.116943,0.481740
classical-fcm,2,40000,3,10,60,0.992200,0.462771,0.481740
classical-kmeans-20k,2,40000,3,10,60,0.994000,0.108338,0.481740
classical-fcm-20k,2,40000,3,10,60,0.992200,0.415727,0.481740
construction,0,96000,3,10,48,0.999833,1.922669,1.259674
classical-kmeans,0,96000,3,10,60,0.996292,0.248109,1.259674
classical-fcm,0,96000,3,10,60,0.996167,0.911390,1.259674
classical-kmeans-20k,0,96000,3,10,60,0.996292,0.111534,1.259674
classical-fcm-20k,0,96000,3,10,60,0.996167,0.447774,1.259674
construction,1,96000,3,10,48,0.999875,1.915254,1.295199
classical-kmeans,1,96000,3,10,60,0.994333,0.264746,1.295199
classical-fcm,1,96000,3,10,60,0.996000,1.167672,1.295199
classical-kmeans-20k,1,96000,3,10,60,0.996083,0.107208,1.295199
classical-fcm-20k,1,96000,3,10,60,0.996917,0.658463,1.295199
construction,2,96000,3,10,52,0.999583,2.032529,1.399022
classical-kmeans,2,96000,3,10,60,0.993750,0.297785,1.399022
classical-fcm,2,96000,3,10,60,0.994042,0.983270,1.399022
classical-kmeans-20k,2,96000,3,10,60,0.993875,0.113515,1.399022
classical-fcm-20k,2,96000,3,10,60,0.994042,0.390374,1.399022
construction,0,188636,3,10,48,0.999788,2.047694,2.398207
classical-kmeans,0,188636,3,10,60,0.995971,0.556768,2.398207
classical-fcm,0,188636,3,10,60,0.995929,2.696350,2.398207
classical-kmeans-20k,0,188636,3,10,60,0.996035,0.120147,2.398207
classical-fcm-20k,0,188636,3,10,60,0.996035,0.351786,2.398207
construction,1,188636,3,10,48,0.999682,2.088700,2.177387
classical-kmeans,1,188636,3,10,60,0.996374,0.585827,2.177387
classical-fcm,1,188636,3,10,60,0.996332,2.435651,2.177387
classical-kmeans-20k,1,188636,3,10,60,0.996374,0.118929,2.177387
classical-fcm-20k,1,188636,3,10,60,0.996289,0.426399,2.177387
construction,2,188636,3,10,48,0.999746,1.988892,2.124639
classical-kmeans,2,188636,3,10,60,0.992939,0.519153,2.124639
classical-fcm,2,188636,3,10,60,0.995738,2.637387,2.124639
classical-kmeans-20k,2,188636,3,10,60,0.989906,0.129724,2.124639
classical-fcm-20k,2,188636,3,10,60,0.995738,0.436070,2.124639
