Features kept,wasserstein (acc / fit s),bhattacharyya (acc / fit s),composite (acc / fit s)
1,0.9967 / 0.54,0.4267 / 0.25,0.4267 / 0.29
2,0.9967 / 0.41,0.4527 / 0.33,0.9967 / 0.41
3,0.9967 / 0.49,0.8455 / 0.49,0.9967 / 0.49
4,0.9967 / 0.56,0.9160 / 0.67,0.9966 / 0.67
5,0.9966 / 0.67,0.9456 / 0.89,0.9966 / 0.85
7,0.9998 / 0.87,0.9610 / 1.24,0.9967 / 1.15
10,0.9995 / 1.13,0.9676 / 1.75,0.9980 / 1.61
15,0.9974 / 1.83,0.9765 / 2.76,0.9999 / 2.40
20,0.9990 / 2.49,0.9777 / 3.29,0.9995 / 3.33
