Features kept,wasserstein (acc / fit s),bhattacharyya (acc / fit s),composite (acc / fit s)
1,0.9967 / 0.52,0.4267 / 0.24,0.4267 / 0.28
2,0.9967 / 0.40,0.4527 / 0.34,0.9967 / 0.41
3,0.9967 / 0.48,0.8455 / 0.49,0.9967 / 0.48
4,0.9967 / 0.55,0.9160 / 0.68,0.9966 / 0.67
5,0.9966 / 0.65,0.9456 / 0.87,0.9966 / 0.83
7,0.9998 / 0.83,0.9610 / 1.22,0.9967 / 1.15
10,0.9995 / 1.13,0.9676 / 1.72,0.9980 / 1.61
15,0.9974 / 1.81,0.9765 / 2.75,0.9999 / 2.39
20,0.9990 / 2.51,0.9777 / 3.33,0.9995 / 3.34
