arm,init,seed,budget,obj,acc,acc_0,heuristic_acc,seconds
none,hot,2,2000,0.011620,0.999250,0.999250,0.999250,0.031
scipy-lbfgsb,hot,2,125,0.011520,0.999354,0.999250,0.999250,4.093
scipy-lbfgsb,hot,2,250,0.003079,0.999625,0.999250,0.999250,8.148
scipy-lbfgsb,hot,2,500,0.001797,0.999667,0.999250,0.999250,16.358
scipy-lbfgsb,hot,2,1000,0.000671,0.999812,0.999250,0.999250,32.755
scipy-lbfgsb,hot,2,2000,0.000584,0.999812,0.999250,0.999250,65.185
scipy-powell,hot,2,125,0.002305,0.999667,0.999250,0.999250,4.075
scipy-powell,hot,2,250,0.002305,0.999667,0.999250,0.999250,8.083
scipy-powell,hot,2,500,0.000980,0.999750,0.999250,0.999250,16.036
scipy-powell,hot,2,1000,0.000696,0.999833,0.999250,0.999250,32.322
scipy-powell,hot,2,2000,0.000591,0.999833,0.999250,0.999250,64.839
scipy-de,hot,2,125,0.011620,0.999250,0.999250,0.999250,2.300
scipy-de,hot,2,250,0.011620,0.999250,0.999250,0.999250,4.500
scipy-de,hot,2,500,0.011620,0.999250,0.999250,0.999250,9.030
scipy-de,hot,2,1000,0.011620,0.999250,0.999250,0.999250,17.694
scipy-de,hot,2,2000,0.011620,0.999250,0.999250,0.999250,35.136
opt-ga,hot,2,125,0.010365,0.998979,0.999250,0.999250,2.471
opt-ga,hot,2,250,0.007772,0.999479,0.999250,0.999250,4.922
opt-ga,hot,2,500,0.005076,0.999313,0.999250,0.999250,11.571
opt-ga,hot,2,1000,0.001024,0.999750,0.999250,0.999250,27.348
opt-ga,hot,2,2000,0.000810,0.999812,0.999250,0.999250,57.839
opt-pso,hot,2,125,0.011620,0.999250,0.999250,0.999250,2.273
opt-pso,hot,2,250,0.011620,0.999250,0.999250,0.999250,4.419
opt-pso,hot,2,500,0.011620,0.999250,0.999250,0.999250,8.850
opt-pso,hot,2,1000,0.011620,0.999250,0.999250,0.999250,17.763
opt-pso,hot,2,2000,0.011620,0.999250,0.999250,0.999250,36.336
opt-aco,hot,2,125,0.011620,0.999250,0.999250,0.999250,2.576
opt-aco,hot,2,250,0.011620,0.999250,0.999250,0.999250,5.045
opt-aco,hot,2,500,0.011620,0.999250,0.999250,0.999250,9.596
opt-aco,hot,2,1000,0.008435,0.998833,0.999250,0.999250,18.487
opt-aco,hot,2,2000,0.008435,0.998833,0.999250,0.999250,37.134
opt-gd,hot,2,125,0.011574,0.999292,0.999250,0.999250,4.272
opt-gd,hot,2,250,0.011574,0.999292,0.999250,0.999250,8.421
opt-gd,hot,2,500,0.001837,0.999687,0.999250,0.999250,16.711
opt-gd,hot,2,1000,0.000816,0.999833,0.999250,0.999250,33.257
opt-gd,hot,2,2000,0.000608,0.999771,0.999250,0.999250,66.956
none,hot,3,125,0.010282,0.999708,0.999708,0.999708,0.035
none,hot,3,250,0.010282,0.999708,0.999708,0.999708,0.035
none,hot,3,500,0.010282,0.999708,0.999708,0.999708,0.035
none,hot,3,1000,0.010282,0.999708,0.999708,0.999708,0.035
none,hot,3,2000,0.010282,0.999708,0.999708,0.999708,0.035
