arm,init,seed,n_train,n_params,n_mfs,obj_0,obj,improvement,beat_start,acc_0,acc,heuristic_acc,heuristic_obj,evals_to_heuristic,seconds_to_heuristic,evals,seconds,construction_seconds,screen_seconds,init_seconds,error
opt-gd,hot,3,16000,100,50,0.010282,0.000602,0.941436,1,0.999708,0.999833,0.999708,0.010282,0,0.0000,2000,63.000,0.144475,0.205070,0.000000,
none,hot,4,16000,98,49,0.015801,0.015801,0.000000,0,0.998833,0.998833,0.998833,0.015801,0,0.0000,0,0.340,0.120968,0.190621,0.000000,
scipy-lbfgsb,hot,4,16000,98,49,0.015801,0.001495,0.905362,1,0.998833,0.999812,0.998833,0.015801,0,0.0000,2000,62.421,0.120968,0.190621,0.000000,
scipy-powell,hot,4,16000,98,49,0.015801,0.001144,0.927570,1,0.998833,0.999812,0.998833,0.015801,0,0.0000,2000,62.298,0.120968,0.190621,0.000000,
scipy-de,hot,4,16000,98,49,0.015801,0.015801,0.000000,0,0.998833,0.998833,0.998833,0.015801,0,0.0000,2000,37.707,0.120968,0.190621,0.000000,
opt-ga,hot,4,16000,98,49,0.015801,0.012728,0.194492,1,0.998833,0.999812,0.998833,0.015801,0,0.0000,2000,40.312,0.120968,0.190621,0.000000,
opt-pso,hot,4,16000,98,49,0.015801,0.015801,0.000000,0,0.998833,0.998833,0.998833,0.015801,0,0.0000,2000,38.775,0.120968,0.190621,0.000000,
opt-aco,hot,4,16000,98,49,0.015801,0.015801,0.000000,0,0.998833,0.998833,0.998833,0.015801,0,0.0000,2000,38.505,0.120968,0.190621,0.000000,
opt-gd,hot,4,16000,98,49,0.015801,0.002327,0.852752,1,0.998833,0.999812,0.998833,0.015801,0,0.0000,2000,62.633,0.120968,0.190621,0.000000,
none,cold,0,16000,100,50,13.094357,13.094357,0.000000,0,0.228313,0.228313,0.999771,0.009248,,,0,0.152,0.125433,0.250037,0.000000,
scipy-lbfgsb,cold,0,16000,100,50,13.094357,0.343022,0.973804,1,0.228313,0.853417,0.999771,0.009248,,,2000,39.782,0.125433,0.250037,0.000000,
scipy-powell,cold,0,16000,100,50,13.094357,0.006658,0.999492,1,0.228313,0.999625,0.999771,0.009248,1233,22.3367,2000,35.965,0.125433,0.250037,0.000000,
scipy-de,cold,0,16000,100,50,13.094357,0.041236,0.996851,1,0.228313,0.988417,0.999771,0.009248,,,2000,37.170,0.125433,0.250037,0.000000,
opt-ga,cold,0,16000,100,50,13.094357,0.006211,0.999526,1,0.228313,0.999812,0.999771,0.009248,1256,24.2342,2000,39.347,0.125433,0.250037,0.000000,
opt-pso,cold,0,16000,100,50,13.094357,0.091306,0.993027,1,0.228313,0.992271,0.999771,0.009248,,,2000,37.097,0.125433,0.250037,0.000000,
opt-aco,cold,0,16000,100,50,13.094357,0.008434,0.999356,1,0.228313,0.999313,0.999771,0.009248,1455,25.9590,2000,35.756,0.125433,0.250037,0.000000,
opt-gd,cold,0,16000,100,50,13.094357,11.324578,0.135156,1,0.228313,0.572792,0.999771,0.009248,,,2000,38.188,0.125433,0.250037,0.000000,
none,cold,1,16000,100,50,15.834268,15.834268,0.000000,0,0.427208,0.427208,0.999854,0.008828,,,0,0.135,0.112577,0.187629,0.000000,
scipy-lbfgsb,cold,1,16000,100,50,15.834268,15.827396,0.000434,1,0.427208,0.427208,0.999854,0.008828,,,1414,24.441,0.112577,0.187629,0.000000,
scipy-powell,cold,1,16000,100,50,15.834268,15.827970,0.000398,1,0.427208,0.427208,0.999854,0.008828,,,2000,35.057,0.112577,0.187629,0.000000,
scipy-de,cold,1,16000,100,50,15.834268,0.034231,0.997838,1,0.427208,0.995354,0.999854,0.008828,,,2000,36.053,0.112577,0.187629,0.000000,
opt-ga,cold,1,16000,100,50,15.834268,0.006310,0.999602,1,0.427208,0.999812,0.999854,0.008828,903,16.1532,2000,36.350,0.112577,0.187629,0.000000,
opt-pso,cold,1,16000,100,50,15.834268,0.051852,0.996725,1,0.427208,0.980729,0.999854,0.008828,,,2000,35.593,0.112577,0.187629,0.000000,
opt-aco,cold,1,16000,100,50,15.834268,0.009982,0.999370,1,0.427208,0.999521,0.999854,0.008828,,,2000,35.058,0.112577,0.187629,0.000000,
opt-gd,cold,1,16000,100,50,15.834268,15.827396,0.000434,1,0.427208,0.427208,0.999854,0.008828,,,1416,24.933,0.112577,0.187629,0.000000,
none,cold,2,16000,100,50,1.077257,1.077257,0.000000,0,0.393375,0.393375,0.999250,0.011620,,,0,0.150,0.107115,0.198673,0.000000,
scipy-lbfgsb,cold,2,16000,100,50,1.077257,0.164574,0.847229,1,0.393375,0.984062,0.999250,0.011620,,,2000,41.050,0.107115,0.198673,0.000000,
scipy-powell,cold,2,16000,100,50,1.077257,0.003626,0.996634,1,0.393375,0.999833,0.999250,0.011620,1179,22.6084,2000,38.356,0.107115,0.198673,0.000000,
scipy-de,cold,2,16000,100,50,1.077257,0.008990,0.991655,1,0.393375,0.999792,0.999250,0.011620,1373,25.3890,2000,37.441,0.107115,0.198673,0.000000,
opt-ga,cold,2,16000,100,50,1.077257,0.009953,0.990761,1,0.393375,0.999292,0.999250,0.011620,1782,31.3323,2000,35.407,0.107115,0.198673,0.000000,
opt-pso,cold,2,16000,100,50,1.077257,0.186772,0.826623,1,0.393375,0.987292,0.999250,0.011620,,,2000,36.123,0.107115,0.198673,0.000000,
opt-aco,cold,2,16000,100,50,1.077257,0.008627,0.991992,1,0.393375,0.999812,0.999250,0.011620,1205,21.0671,2000,35.809,0.107115,0.198673,0.000000,
opt-gd,cold,2,16000,100,50,1.077257,0.079623,0.926088,1,0.393375,0.969021,0.999250,0.011620,,,2000,37.649,0.107115,0.198673,0.000000,
none,cold,3,16000,100,50,4.554151,4.554151,0.000000,0,0.427021,0.427021,0.999708,0.010282,,,0,0.158,0.113702,0.217468,0.000000,
scipy-lbfgsb,cold,3,16000,100,50,4.554151,0.378581,0.916871,1,0.427021,0.927250,0.999708,0.010282,,,2000,39.794,0.113702,0.217468,0.000000,
scipy-powell,cold,3,16000,100,50,4.554151,0.002919,0.999359,1,0.427021,0.999729,0.999708,0.010282,169,3.5196,2000,39.568,0.113702,0.217468,0.000000,
scipy-de,cold,3,16000,100,50,4.554151,0.111878,0.975434,1,0.427021,0.966042,0.999708,0.010282,,,2000,37.364,0.113702,0.217468,0.000000,
opt-ga,cold,3,16000,100,50,4.554151,0.004135,0.999092,1,0.427021,0.999771,0.999708,0.010282,993,19.2121,2000,39.380,0.113702,0.217468,0.000000,
opt-pso,cold,3,16000,100,50,4.554151,0.152559,0.966501,1,0.427021,0.996000,0.999708,0.010282,,,2000,38.892,0.113702,0.217468,0.000000,
opt-aco,cold,3,16000,100,50,4.554151,0.013138,0.997115,1,0.427021,0.997938,0.999708,0.010282,,,2000,40.252,0.113702,0.217468,0.000000,
opt-gd,cold,3,16000,100,50,4.554151,0.350281,0.923085,1,0.427021,0.934813,0.999708,0.010282,,,2000,42.193,0.113702,0.217468,0.000000,
none,cold,4,16000,98,49,0.652433,0.652433,0.000000,0,0.427208,0.427208,0.998833,0.015801,,,0,0.157,0.112460,0.202957,0.000000,
scipy-lbfgsb,cold,4,16000,98,49,0.652433,0.151478,0.767825,1,0.427208,0.947937,0.998833,0.015801,,,2000,36.756,0.112460,0.202957,0.000000,
scipy-powell,cold,4,16000,98,49,0.652433,0.002965,0.995455,1,0.427208,0.999833,0.998833,0.015801,149,2.7617,2000,36.257,0.112460,0.202957,0.000000,
scipy-de,cold,4,16000,98,49,0.652433,0.061508,0.905726,1,0.427208,0.994062,0.998833,0.015801,,,2000,38.565,0.112460,0.202957,0.000000,
opt-ga,cold,4,16000,98,49,0.652433,0.007824,0.988008,1,0.427208,0.999792,0.998833,0.015801,683,12.5306,2000,37.978,0.112460,0.202957,0.000000,
opt-pso,cold,4,16000,98,49,0.652433,0.134347,0.794083,1,0.427208,0.953583,0.998833,0.015801,,,2000,37.954,0.112460,0.202957,0.000000,
opt-aco,cold,4,16000,98,49,0.652433,0.006716,0.989707,1,0.427208,0.999687,0.998833,0.015801,1263,23.8084,2000,37.248,0.112460,0.202957,0.000000,
opt-gd,cold,4,16000,98,49,0.652433,0.154429,0.763303,1,0.427208,0.945312,0.998833,0.015801,,,2000,37.132,0.112460,0.202957,0.000000,
none,classical-kmeans,0,16000,120,60,0.050631,0.050631,0.000000,0,0.992729,0.992729,0.999771,0.009248,,,0,0.218,0.106433,0.202164,0.047984,
scipy-lbfgsb,classical-kmeans,0,16000,120,60,0.050631,0.016227,0.679511,1,0.992729,0.998979,0.999771,0.009248,,,2000,34.450,0.106433,0.202164,0.047984,
scipy-powell,classical-kmeans,0,16000,120,60,0.050631,0.001462,0.971124,1,0.992729,0.999792,0.999771,0.009248,1470,23.9049,2000,32.875,0.106433,0.202164,0.047984,
scipy-de,classical-kmeans,0,16000,120,60,0.050631,0.050631,0.000000,0,0.992729,0.992729,0.999771,0.009248,,,0,0.241,0.106433,0.202164,0.047984,ValueError: Some entries in x0 lay outside the specified bounds
opt-ga,classical-kmeans,0,16000,120,60,0.050631,0.013176,0.739759,1,0.992729,0.999667,0.999771,0.009248,,,2000,27.944,0.106433,0.202164,0.047984,
opt-pso,classical-kmeans,0,16000,120,60,0.050631,0.050631,0.000000,0,0.992729,0.992729,0.999771,0.009248,,,2000,27.725,0.106433,0.202164,0.047984,
opt-aco,classical-kmeans,0,16000,120,60,0.050631,0.005116,0.898949,1,0.992729,0.999250,0.999771,0.009248,1410,19.3829,2000,27.614,0.106433,0.202164,0.047984,
opt-gd,classical-kmeans,0,16000,120,60,0.050631,0.017016,0.663927,1,0.992729,0.999250,0.999771,0.009248,,,2000,34.469,0.106433,0.202164,0.047984,
