N (points),classical VAT,pVAT,speedup
256,0.377 ± 0.007 s,0.031 ± 0.058 s,12x
512,2.913 ± 0.086 s,0.008 ± 0.001 s,356x
"1,024",23.183 ± 0.531 s,0.033 ± 0.008 s,692x
"2,048",infeasible (>cap),0.110 ± 0.004 s,N/A
"4,096",infeasible (>cap),0.513 ± 0.061 s,N/A
