Dataset (task),MoG train time,MoG accuracy / R2,ANFIS,GA-tuned FIS,tree / RF ref
Concrete (regression),0.63 ± 0.07 s,R2=0.644 ± 0.015,N/A,N/A,0.913 ± 0.014
PhiUSIIL (classification),0.99 ± 0.09 s,acc=0.997 ± 0.001,N/A,N/A,1.000 ± 0.000
