N,classical O(N³),stage 1 O(N²logN),stage 2 O(N²),cls/s2,s1/s2,orders identical
500,0.0313 ± 0.0049 s,0.0046 ± 0.0002 s,0.0007 ± 0.0000 s,47.8×,7.1×,yes
"1,000",0.2768 ± 0.0061 s,0.0151 ± 0.0005 s,0.0056 ± 0.0035 s,49.4×,2.7×,yes
"2,000",not run (> cap),0.0527 ± 0.0013 s,0.0048 ± 0.0002 s,N/A,11.0×,yes
"4,000",not run (> cap),0.2640 ± 0.0051 s,0.0233 ± 0.0020 s,N/A,11.3×,yes
