Features kept,wasserstein (acc / fit s),bhattacharyya (acc / fit s),composite (acc / fit s)
1,0.9967 / 0.54,0.4267 / 0.25,0.4267 / 0.30
2,0.9967 / 0.42,0.4527 / 0.34,0.9967 / 0.42
3,0.9967 / 0.50,0.8455 / 0.51,0.9967 / 0.50
4,0.9967 / 0.58,0.9160 / 0.68,0.9966 / 0.70
5,0.9966 / 0.67,0.9456 / 0.88,0.9966 / 0.86
7,0.9998 / 0.86,0.9610 / 1.24,0.9967 / 1.16
10,0.9995 / 1.17,0.9676 / 1.77,0.9980 / 1.62
15,0.9974 / 1.83,0.9765 / 2.76,0.9999 / 2.42
20,0.9990 / 2.51,0.9777 / 3.34,0.9995 / 3.35
