θ,detection rate,false-alarm rate,detection − false alarm
0.500,0.975,0.713,+0.263
0.600,0.958,0.626,+0.332
0.700,0.934,0.592,+0.342
0.800,0.914,0.518,+0.396
0.900,0.842,0.485,+0.358
0.990,0.804,0.438,+0.366
1.100,0.000,0.000,+0.000
