Dataset,Task,Raw MF,MF @ 1x (Δ),Reduction @ 1x,Max-lossless ×,MF @ max-lossless (Δ),Reduction @ max-lossless
Glass,classification,81.4,71.0 (+0.0015 ± 0.0049 acc),12.8%,5×,61.3 (+0.0000 ± 0.0073 acc),24.7%
Wine,classification,16.6,16.6 (+0.0000 ± 0.0000 acc),0.0%,10×,14.6 (-0.0037 ± 0.0170 acc),12.0%
BreastCancer,classification,11.1,11.1 (+0.0000 ± 0.0000 acc),0.0%,7×,10.7 (-0.0018 ± 0.0028 acc),3.6%
Digits,classification,172.2,157.5 (+0.0009 ± 0.0029 acc),8.5%,10×,75.0 (-0.0189 ± 0.0285 acc),56.4%
Concrete,regression,63.2,62.6 (+0.0000 ± 0.0000 R²),0.9%,10×,58.4 (-0.0122 ± 0.0332 R²),7.6%
Diabetes,regression,41.6,36.2 (+0.0057 ± 0.0178 R²),13.0%,3×,26.8 (-0.0057 ± 0.0244 R²),35.6%
