λ,target skew,uniform R²,quantile R²,Q − U,uniform tail RMSE,quantile tail RMSE,uniform min bucket n
0.01,+0.05,0.912 ± 0.009,0.911 ± 0.011,-0.001,0.052 ± 0.006,0.051 ± 0.006,11
0.50,+1.84,0.884 ± 0.017,0.876 ± 0.037,-0.008,0.066 ± 0.017,0.062 ± 0.012,1
1.00,+5.32,0.708 ± 0.092,0.728 ± 0.178,+0.020,0.084 ± 0.039,0.066 ± 0.018,0
1.50,+10.44,0.337 ± 0.128,0.183 ± 0.857,-0.154,0.097 ± 0.064,0.064 ± 0.022,0
2.00,+14.71,0.184 ± 0.100,-2.106 ± 4.505,-2.290,0.078 ± 0.063,0.062 ± 0.025,0
2.50,+17.71,0.025 ± 0.225,-12.562 ± 25.298,-12.587,0.066 ± 0.062,0.060 ± 0.028,0
