Dataset,Model,Metric,min/max,probability,luk,hamacher,einstein,Best (mean spread)
Concrete,flat MoG-TSK,R2,0.705 ± 0.053,0.687 ± 0.051,-3.774 ± 0.569,0.711 ± 0.053,0.678 ± 0.048,**hamacher** (spread 4.484)
Concrete,flat MoG-TSK,RMSE (MPa),8.847 ± 0.669,9.117 ± 0.655,35.645 ± 1.068,8.761 ± 0.692,9.258 ± 0.601,**hamacher** (spread 26.885)
Concrete,fuzzy tree (t-norm only),R2,0.708 ± 0.031,0.712 ± 0.032,0.713 ± 0.035,0.712 ± 0.031,0.713 ± 0.033,**luk** (spread 0.005)
Concrete,fuzzy tree (t-norm only),RMSE (MPa),8.829 ± 0.494,8.764 ± 0.549,8.755 ± 0.603,8.770 ± 0.519,8.760 ± 0.569,**luk** (spread 0.074)
Concrete,HME (experts only),R2,0.788 ± 0.027,0.774 ± 0.020,-3.592 ± 0.500,0.796 ± 0.025,0.761 ± 0.024,**hamacher** (spread 4.388)
Concrete,HME (experts only),RMSE (MPa),7.516 ± 0.414,7.777 ± 0.403,34.991 ± 1.371,7.371 ± 0.398,7.997 ± 0.495,**hamacher** (spread 27.620)
PhiUSIIL,flat MoG,accuracy,0.997 ± 0.001,0.997 ± 0.001,0.997 ± 0.001,0.997 ± 0.001,0.997 ± 0.001,**luk** (spread 0.000)
PhiUSIIL,fuzzy tree (t-norm only),accuracy,0.967 ± 0.003,0.967 ± 0.003,0.967 ± 0.003,0.967 ± 0.003,0.967 ± 0.003,**min/max** (spread 0.000)
PhiUSIIL,HME (experts only),accuracy,0.998 ± 0.001,0.998 ± 0.001,0.968 ± 0.001,0.998 ± 0.001,0.998 ± 0.001,**probability** (spread 0.031)
