N (points),classical VAT (s),pVAT (s),speedup
256,0.220 ± 0.005 s,0.010 ± 0.028 s,22x
512,2.032 ± 0.093 s,0.005 ± 0.001 s,438x
"1,024",15.543 ± 0.713 s,0.015 ± 0.003 s,1021x
"2,048",infeasible (>cap),0.059 ± 0.011 s,N/A
"4,096",infeasible (>cap),0.183 ± 0.020 s,N/A
