Features kept,wasserstein (acc / fit s),bhattacharyya (acc / fit s),composite (acc / fit s)
1,0.9967 / 0.26,0.9967 / 0.11,0.9967 / 0.14
2,0.9967 / 0.13,0.9999 / 0.12,0.9999 / 0.13
3,0.9967 / 0.14,0.9999 / 0.13,0.9999 / 0.16
4,0.9967 / 0.15,0.9999 / 0.14,0.9999 / 0.17
5,0.9965 / 0.17,0.9999 / 0.16,0.9999 / 0.20
7,0.9998 / 0.20,0.9999 / 0.19,0.9999 / 0.28
10,0.9997 / 0.28,0.9999 / 0.29,0.9999 / 0.38
15,0.9957 / 0.48,0.9999 / 0.46,0.9999 / 0.55
20,0.9984 / 0.61,0.9998 / 0.64,0.9999 / 0.64
