θ,detection rate,false-alarm rate,detection − false alarm
0.500,0.995,0.800,+0.195
0.600,0.955,0.739,+0.216
0.700,0.947,0.670,+0.277
0.800,0.923,0.603,+0.320
0.900,0.851,0.552,+0.298
0.990,0.777,0.305,+0.472
1.100,0.000,0.000,+0.000
