Dataset (task),MoG train time,MoG accuracy / R2,ANFIS,GA-tuned FIS,tree / RF ref
Concrete (regression),0.06 ± 0.00 s,R2=0.808 ± 0.030,N/A,N/A,0.909 ± 0.019
"Concrete (regression, full 2nd order)",0.07 ± 0.00 s,R2=0.867 ± 0.031,N/A,N/A,0.909 ± 0.019
Bike Sharing (regression),0.11 ± 0.00 s,R2=0.965 ± 0.001,N/A,N/A,1.000 ± 0.000
PhiUSIIL (classification),0.17 ± 0.01 s,acc=0.729 ± 0.023,N/A,N/A,1.000 ± 0.000
RT-IOT2022 (12-class),33.22 ± 0.12 s,acc=0.500 ± 0.244,N/A,N/A,0.999 ± 0.000
