N,classical O(N³) (s),stage 1 O(N²logN) (s),stage 2 O(N²) (s),cls/s2,s1/s2,orders identical
100,0.0001 ± 0.0000 s,0.0002 ± 0.0000 s,0.0000 ± 0.0000 s,6.3×,9.4×,yes
200,0.0008 ± 0.0000 s,0.0005 ± 0.0000 s,0.0001 ± 0.0000 s,13.2×,8.4×,yes
300,0.0027 ± 0.0001 s,0.0010 ± 0.0001 s,0.0001 ± 0.0000 s,22.6×,7.8×,yes
500,0.0138 ± 0.0003 s,0.0026 ± 0.0001 s,0.0003 ± 0.0000 s,41.4×,7.8×,yes
750,0.0502 ± 0.0012 s,0.0053 ± 0.0002 s,0.0007 ± 0.0001 s,71.9×,7.6×,yes
"1,000",0.1317 ± 0.0035 s,0.0089 ± 0.0003 s,0.0010 ± 0.0001 s,131.0×,8.9×,yes
"1,250",not run (> cap),0.0152 ± 0.0026 s,0.0016 ± 0.0002 s,N/A,9.5×,yes
"1,500",not run (> cap),0.0198 ± 0.0006 s,0.0018 ± 0.0002 s,N/A,11.2×,yes
"2,000",not run (> cap),0.0333 ± 0.0007 s,0.0031 ± 0.0002 s,N/A,10.6×,yes
"2,500",not run (> cap),0.0506 ± 0.0010 s,0.0052 ± 0.0003 s,N/A,9.8×,yes
"3,000",not run (> cap),0.0708 ± 0.0015 s,0.0076 ± 0.0004 s,N/A,9.3×,yes
